Fecha	Cierre	Var	Var (%)	Máx	Mín	Vol. (acciones)	
2015-02-12	70,00	0,00	0,00	73,70	69,20	3978880	
2015-02-13	74,00	4,00	5,71	74,00	69,21	1538493	
2015-02-16	72,50	-1,50	-2,03	73,50	70,44	626249	
2015-02-17	74,90	2,40	3,31	75,27	72,20	1359790	
2015-02-18	76,87	1,97	2,63	77,50	75,05	984992	
2015-02-19	77,15	0,28	0,36	77,15	75,08	667335	
2015-02-20	78,00	0,85	1,10	78,00	76,19	375041	
2015-02-23	77,77	-0,23	-0,29	79,45	77,77	465583	
2015-02-24	77,50	-0,27	-0,35	78,61	75,60	701988	
2015-02-25	78,13	0,63	0,81	78,28	76,50	863773	
2015-02-26	80,64	2,51	3,21	80,75	76,14	660647	
2015-02-27	83,06	2,42	3,00	83,68	80,64	5844231	
2015-03-02	82,50	-0,56	-0,67	83,50	82,24	525402	
2015-03-03	82,00	-0,50	-0,61	82,90	81,51	667054	
2015-03-04	83,48	1,48	1,80	83,60	81,62	256050	
2015-03-05	84,61	1,13	1,35	85,98	82,88	628394	
2015-03-06	84,90	0,29	0,34	85,10	83,50	491783	
2015-03-09	85,05	0,15	0,18	85,10	83,70	311251	
2015-03-10	83,00	-2,05	-2,41	85,00	82,15	635914	
2015-03-11	80,44	-2,56	-3,08	82,61	79,10	1220779	
2015-03-12	81,30	0,86	1,07	81,66	78,61	1008922	
2015-03-13	81,50	0,20	0,25	83,00	81,15	313319	
2015-03-16	80,50	-1,00	-1,23	82,12	80,20	254159	
2015-03-17	80,00	-0,50	-0,62	80,89	79,50	313011	
2015-03-18	79,94	-0,06	-0,08	80,05	79,00	427700	
2015-03-19	79,10	-0,84	-1,05	80,00	78,51	315765	
2015-03-20	80,25	1,15	1,45	80,95	79,26	718826	
2015-03-23	80,80	0,55	0,69	82,00	80,30	89020	
2015-03-24	81,95	1,15	1,42	82,95	80,26	396547	
2015-03-25	80,35	-1,60	-1,95	82,68	80,35	836227	
2015-03-26	80,66	0,31	0,39	80,98	79,65	507307	
2015-03-27	84,00	3,34	4,14	84,50	80,70	814338	
2015-03-30	89,50	5,50	6,55	89,70	84,25	633958	
2015-03-31	93,51	4,01	4,48	93,88	89,41	815108	
2015-04-01	97,49	3,98	4,26	98,30	92,51	668166	
2015-04-02	99,60	2,11	2,16	104,20	98,00	551833	
2015-04-07	97,95	-1,65	-1,66	100,00	96,95	252690	
2015-04-08	94,90	-3,05	-3,11	98,40	93,10	566136	
2015-04-09	94,50	-0,40	-0,42	95,95	93,90	918398	
2015-04-10	99,42	4,92	5,21	99,42	94,60	516120	
2015-04-13	98,50	-0,92	-0,93	99,28	97,80	678232	
2015-04-14	92,61	-5,89	-5,98	97,24	91,00	1468249	
2015-04-15	90,37	-2,24	-2,42	92,97	90,31	585780	
2015-04-16	90,20	-0,17	-0,19	91,00	89,01	321756	
2015-04-17	90,50	0,30	0,33	90,95	88,20	389345	
2015-04-20	88,50	-2,00	-2,21	91,90	88,00	248050	
2015-04-21	89,70	1,20	1,36	90,49	88,30	339101	
2015-04-22	88,50	-1,20	-1,34	89,65	87,00	202698	
2015-04-23	86,65	-1,85	-2,09	88,56	86,03	438287	
2015-04-24	86,10	-0,55	-0,63	87,24	85,80	245331	
2015-04-27	88,95	2,85	3,31	89,83	86,20	412683	
2015-04-28	86,80	-2,15	-2,42	89,93	86,05	548181	
2015-04-29	82,55	-4,25	-4,90	88,48	80,75	890380	
2015-04-30	83,91	1,36	1,65	84,76	82,75	397016	
2015-05-04	88,52	4,61	5,49	88,90	85,16	551743	
2015-05-05	86,45	-2,07	-2,34	89,15	85,90	537823	
2015-05-06	86,97	0,52	0,60	88,62	85,02	502072	
2015-05-07	85,76	-1,21	-1,39	88,49	80,66	576792	
2015-05-08	87,50	1,74	2,03	87,85	85,40	325739	
2015-05-11	88,35	0,85	0,97	90,00	87,05	347031	
2015-05-12	88,60	0,25	0,28	89,01	87,80	393119	
2015-05-13	89,16	0,56	0,63	89,89	88,36	235041	
2015-05-14	93,76	4,60	5,16	94,40	90,00	425085	
2015-05-15	94,30	0,54	0,58	94,80	93,15	272345	
2015-05-18	94,70	0,40	0,42	95,65	93,46	362333	
2015-05-19	94,35	-0,35	-0,37	95,98	94,16	419129	
2015-05-20	93,28	-1,07	-1,13	95,84	92,21	499069	
2015-05-21	93,30	0,02	0,02	95,00	92,40	383594	
2015-05-22	92,25	-1,05	-1,13	94,45	92,25	308304	
2015-05-25	90,30	-1,95	-2,11	93,15	90,00	257446	
2015-05-26	91,51	1,21	1,34	93,89	89,55	582153	
2015-05-27	94,79	3,28	3,58	94,98	90,65	626015	
2015-05-28	96,75	1,96	2,07	97,00	94,15	331588	
2015-05-29	95,40	-1,35	-1,40	96,45	92,70	1028852	
2015-06-01	95,40	0,00	0,00	95,76	93,10	283031	
2015-06-02	94,00	-1,40	-1,47	95,26	93,74	353027	
2015-06-03	95,27	1,27	1,35	96,00	94,25	411653	
2015-06-04	94,36	-0,91	-0,96	95,15	93,60	254041	
2015-06-05	94,21	-0,15	-0,16	95,95	93,53	229027	
2015-06-08	93,98	-0,23	-0,24	95,29	92,85	182061	
