Fecha	Cierre	Var	Var (%)	Máx	Mín	Vol. (acciones)	
2015-01-02	32,86	-0,23	-0,68	33,21	32,69	903629	
2015-01-05	32,36	-0,51	-1,54	33,06	32,22	1259776	
2015-01-06	32,61	0,26	0,79	33,02	32,18	1402520	
2015-01-07	32,44	-0,17	-0,52	32,92	32,32	1614269	
2015-01-08	32,69	0,25	0,77	32,91	32,43	1343030	
2015-01-09	33,17	0,48	1,45	33,40	32,62	1564531	
2015-01-12	33,77	0,60	1,81	34,07	33,31	1303376	
2015-01-13	33,80	0,04	0,10	33,84	33,28	1275789	
2015-01-14	33,53	-0,27	-0,80	34,11	33,30	1099443	
2015-01-15	33,89	0,36	1,07	34,00	32,99	1596281	
2015-01-16	33,27	-0,62	-1,83	33,35	32,85	4455974	
2015-01-19	33,45	0,18	0,54	33,60	33,30	1182369	
2015-01-20	33,50	0,05	0,15	33,70	33,35	1420546	
2015-01-21	33,51	0,01	0,03	33,70	33,34	2358480	
2015-01-22	33,63	0,12	0,34	33,80	33,18	3245051	
2015-01-23	34,06	0,44	1,29	34,15	33,75	2062395	
2015-01-26	34,51	0,45	1,32	34,51	33,90	2899430	
2015-01-27	34,96	0,45	1,29	35,00	34,45	2254837	
2015-01-28	35,86	0,91	2,59	35,94	35,05	2585215	
2015-01-29	35,66	-0,20	-0,56	35,80	35,41	1314200	
2015-01-30	35,59	0,25	0,71	35,91	35,41	2287271	
2015-02-02	35,32	-0,28	-0,77	35,80	35,16	1326050	
2015-02-03	35,31	-0,01	-0,03	35,61	35,29	1080743	
2015-02-04	35,50	0,20	0,55	35,57	35,02	1621261	
2015-02-05	35,60	0,10	0,27	35,66	35,19	1203531	
2015-02-06	35,55	-0,05	-0,14	35,69	35,29	1067537	
2015-02-09	34,55	-1,00	-2,80	35,20	34,37	1296365	
2015-02-10	34,87	0,32	0,91	35,00	34,68	1193168	
2015-02-11	34,82	-0,05	-0,13	35,10	34,65	937587	
2015-02-12	35,39	0,57	1,64	35,50	34,60	1304640	
2015-02-13	35,52	0,13	0,37	35,75	35,37	1060351	
2015-02-16	35,48	-0,05	-0,13	35,68	35,42	813836	
2015-02-17	35,48	0,00	0,00	35,88	35,30	925255	
2015-02-18	35,77	0,30	0,83	35,99	35,62	1159474	
2015-02-19	36,04	0,27	0,75	36,19	35,54	1055061	
2015-02-20	35,94	-0,10	-0,28	36,30	35,79	2132363	
2015-02-23	36,68	0,74	2,05	36,73	36,20	1398786	
2015-02-24	35,92	-0,76	-2,06	36,62	35,82	1495767	
2015-02-25	36,42	0,50	1,38	36,60	35,97	1008057	
2015-02-26	36,63	0,21	0,58	36,63	36,20	859215	
2015-02-27	36,85	0,23	0,61	37,62	36,17	3409486	
2015-03-02	36,86	0,01	0,03	37,34	36,31	1613312	
2015-03-03	36,89	0,03	0,07	37,25	36,81	1156173	
2015-03-04	37,43	0,55	1,48	37,58	36,42	1608365	
2015-03-05	38,02	0,59	1,58	38,37	37,41	1336570	
2015-03-06	38,08	0,06	0,16	38,42	37,98	1263501	
2015-03-09	37,55	-0,53	-1,39	37,94	37,28	1034994	
2015-03-10	37,55	-0,01	-0,01	38,36	37,45	1371927	
2015-03-11	38,01	0,47	1,24	38,23	37,69	895057	
2015-03-12	37,79	-0,22	-0,58	38,22	37,71	1303188	
2015-03-13	38,24	0,45	1,19	38,34	37,85	1414139	
2015-03-16	38,39	0,15	0,38	38,69	38,30	1007749	
2015-03-17	38,33	-0,06	-0,14	38,76	38,06	862600	
2015-03-18	38,22	-0,12	-0,30	38,49	38,07	1069231	
2015-03-19	38,48	0,27	0,69	38,48	37,95	1026416	
2015-03-20	39,06	0,58	1,51	39,17	38,33	2017309	
2015-03-23	39,26	0,20	0,51	39,32	38,75	1272504	
2015-03-24	39,78	0,52	1,31	40,03	39,18	1605774	
2015-03-25	39,06	-0,72	-1,80	39,78	38,88	1231047	
2015-03-26	39,39	0,33	0,83	39,40	38,17	1626975	
2015-03-27	39,48	0,09	0,23	39,72	39,20	1165863	
2015-03-30	40,15	0,67	1,70	40,35	39,77	1386285	
2015-03-31	39,96	-0,19	-0,46	40,55	39,62	1725571	
2015-04-01	39,91	-0,06	-0,14	40,16	39,40	1101944	
2015-04-02	40,17	0,27	0,66	40,33	39,61	731713	
2015-04-07	40,92	0,75	1,87	41,34	40,34	1352223	
2015-04-08	40,36	-0,57	-1,38	40,88	40,23	1386419	
2015-04-09	41,25	0,90	2,22	41,28	40,77	3016171	
2015-04-10	41,57	0,32	0,76	41,66	41,30	983662	
2015-04-13	41,38	-0,19	-0,45	41,77	41,13	1078079	
2015-04-14	41,33	-0,06	-0,13	41,67	41,16	1409493	
2015-04-15	41,15	-0,18	-0,44	41,83	41,07	1331952	
2015-04-16	40,56	-0,59	-1,43	41,22	40,29	1278308	
2015-04-17	39,89	-0,67	-1,65	40,55	38,61	1410601	
2015-04-20	40,16	0,27	0,68	40,27	39,28	959104	
2015-04-21	40,96	0,81	2,00	41,19	40,23	1078216	
2015-04-22	41,16	0,20	0,49	41,56	40,91	1053481	
2015-04-23	41,23	0,07	0,17	41,34	40,72	1142262	
2015-04-24	41,43	0,20	0,47	41,50	40,92	898015	
2015-04-27	42,00	0,58	1,39	42,09	41,02	1146979	
2015-04-28	41,68	-0,33	-0,77	42,16	41,46	872165	
2015-04-29	41,18	-0,50	-1,19	42,18	41,18	1431449	
2015-04-30	40,83	-0,35	-0,85	41,36	40,77	1721174	
2015-05-04	41,14	0,31	0,76	41,76	40,74	914569	
2015-05-05	39,96	-1,19	-2,88	41,59	39,87	1282218	
2015-05-06	39,76	-0,20	-0,49	40,23	39,46	1839076	
2015-05-07	39,88	0,12	0,30	40,95	38,50	1775240	
2015-05-08	40,41	0,53	1,33	40,57	39,78	1110615	
2015-05-11	40,74	0,33	0,80	40,80	40,21	972735	
2015-05-12	41,18	0,44	1,08	41,33	40,31	1548512	
2015-05-13	40,91	-0,27	-0,66	41,59	40,82	743688	
2015-05-14	40,76	-0,15	-0,37	41,04	40,51	1031681	
2015-05-15	40,94	0,19	0,45	41,10	40,67	632339	
2015-05-18	41,54	0,60	1,45	41,60	40,88	1171476	
2015-05-19	42,36	0,82	1,97	42,80	41,35	1553918	
2015-05-20	42,31	-0,05	-0,12	42,49	41,96	658596	
2015-05-21	42,79	0,48	1,13	42,84	42,14	667391	
2015-05-22	42,24	-0,55	-1,27	42,79	42,24	680679	
2015-05-25	41,81	-0,44	-1,03	42,43	41,66	192392	
2015-05-26	41,66	-0,15	-0,35	42,10	41,30	877624	
2015-05-27	42,10	0,44	1,04	42,19	41,67	661068	
2015-05-28	42,36	0,26	0,62	42,71	42,12	1047321	
2015-05-29	41,44	-0,92	-2,17	42,41	41,41	1160709	
2015-06-01	41,45	0,02	0,04	41,94	41,28	753529	
2015-06-02	41,39	-0,07	-0,16	42,09	41,25	914857	
2015-06-03	37,36	-4,03	-9,73	39,59	36,55	8168592	
2015-06-04	37,80	0,44	1,16	38,45	37,44	3411904	
2015-06-05	36,90	-0,90	-2,37	37,60	36,65	1162030	
2015-06-08	36,69	-0,22	-0,58	37,08	36,50	1557961	
2015-06-09	35,30	-1,39	-3,78	35,72	33,88	6885170	
2015-06-10	35,34	0,04	0,10	35,44	34,56	3372725	
2015-06-11	36,48	1,15	3,24	36,82	35,30	3493822	
2015-06-12	36,15	-0,33	-0,90	36,48	35,56	1205236	
2015-06-15	35,33	-0,83	-2,28	35,81	35,05	1360011	
2015-06-16	35,93	0,61	1,71	36,29	34,87	2138108	
2015-06-17	35,98	0,05	0,14	36,41	35,29	1985113	
2015-06-18	36,13	0,15	0,42	36,13	35,18	1873071	
2015-06-19	35,97	-0,16	-0,44	36,51	35,84	2253165	
2015-06-22	36,89	0,92	2,56	37,00	36,38	1413752	
2015-06-23	37,32	0,43	1,15	37,82	36,98	2101875	
2015-06-24	36,76	-0,56	-1,49	37,43	36,57	1808913	
2015-06-25	36,72	-0,05	-0,12	36,86	36,23	2855216	
2015-06-26	36,86	0,14	0,38	37,10	36,42	1143292	
2015-06-29	36,12	-0,74	-1,99	36,60	35,05	1192503	
2015-06-30	35,76	-0,37	-1,01	36,31	35,43	1485098	
2015-07-01	36,25	0,49	1,37	36,70	35,86	1099328	
2015-07-02	36,21	-0,04	-0,10	37,91	35,87	1710253	
2015-07-03	35,95	-0,27	-0,73	36,80	35,67	1317249	
2015-07-06	35,89	-0,06	-0,15	36,15	34,88	1483664	
2015-07-07	35,35	-0,54	-1,50	36,12	35,25	809327	
2015-07-08	35,87	0,52	1,47	36,12	35,14	1316287	
2015-07-09	36,53	0,66	1,83	36,82	35,79	1082546	
2015-07-10	37,28	0,76	2,07	37,44	36,80	851120	
2015-07-13	37,85	0,57	1,53	37,85	37,45	876246	
2015-07-14	38,16	0,31	0,81	38,57	37,92	1070914	
2015-07-15	38,60	0,45	1,17	38,72	37,86	1386798	
2015-07-16	39,17	0,57	1,48	39,39	38,76	796174	
2015-07-17	38,98	-0,20	-0,50	39,26	38,37	1504015	
2015-07-20	39,25	0,28	0,71	39,52	39,07	825412	
2015-07-21	38,64	-0,62	-1,57	39,30	38,50	758029	
2015-07-22	39,10	0,47	1,20	39,16	38,30	947157	
2015-07-23	39,35	0,25	0,63	39,54	39,03	1542217	
2015-07-24	39,39	0,05	0,11	39,60	39,17	746183	
2015-07-27	38,91	-0,49	-1,23	39,60	38,69	2415341	
2015-07-28	38,85	-0,06	-0,14	39,18	38,33	1068099	
2015-07-29	39,73	0,88	2,27	39,73	38,82	1087088	
2015-07-30	39,86	0,51	1,30	39,92	39,49	1155540	
2015-07-31	39,71	-0,15	-0,38	40,82	39,40	1699605	
2015-08-03	39,96	0,25	0,62	40,12	39,75	1002501	
2015-08-04	40,00	0,04	0,10	40,19	39,78	1533739	
2015-08-05	40,28	0,29	0,71	40,41	40,00	1591868	
2015-08-06	39,46	-0,82	-2,04	40,43	39,46	1209559	
2015-08-07	39,08	-0,38	-0,96	39,54	39,01	1282651	
2015-08-10	39,69	0,61	1,55	39,86	39,10	1060688	
2015-08-11	39,08	-0,61	-1,54	39,78	38,90	1196544	
2015-08-12	37,76	-1,32	-3,37	38,68	37,65	1556591	
2015-08-13	38,60	0,84	2,22	38,69	38,14	903202	
2015-08-14	38,62	0,02	0,04	38,90	38,37	1088297	
2015-08-17	38,48	-0,14	-0,36	39,11	38,17	1099927	
2015-08-18	38,50	0,03	0,06	38,68	38,41	788987	
2015-08-19	38,24	-0,26	-0,68	38,47	37,92	1075219	
2015-08-20	37,70	-0,55	-1,43	38,20	37,34	1441314	
2015-08-21	36,92	-0,78	-2,07	37,47	36,81	1602167	
2015-08-24	35,79	-1,13	-3,06	36,27	34,31	2512858	
2015-08-25	36,52	0,73	2,04	36,73	35,85	1754275	
2015-08-26	35,89	-0,63	-1,71	36,76	35,75	2375931	
2015-08-27	36,75	0,86	2,40	37,17	36,41	1231384	
2015-08-28	37,11	0,36	0,98	37,11	36,48	1648809	
2015-08-31	37,31	0,20	0,54	37,52	36,80	1012846	
2015-09-01	36,50	-0,81	-2,17	36,98	36,15	1383313	
2015-09-02	35,73	-0,77	-2,11	36,46	35,72	1511207	
2015-09-03	36,16	0,43	1,20	36,36	35,76	1332487	
2015-09-04	35,38	-0,78	-2,16	35,99	35,30	1902179	
2015-09-07	35,55	0,17	0,47	35,87	35,33	985606	
2015-09-08	35,68	0,13	0,37	36,10	35,64	647794	
2015-09-09	36,02	0,35	0,97	36,61	35,97	650973	
2015-09-10	36,13	0,11	0,31	36,31	35,65	733328	
2015-09-11	35,96	-0,17	-0,47	36,35	35,73	677408	
2015-09-14	35,65	-0,32	-0,88	36,27	35,65	848431	
2015-09-15	35,68	0,03	0,08	35,98	35,35	853770	
2015-09-16	36,66	0,98	2,75	36,72	36,00	876586	
2015-09-17	37,04	0,38	1,04	37,26	36,46	707889	
2015-09-18	36,83	-0,21	-0,55	37,07	36,60	1313004	
2015-09-21	37,38	0,55	1,49	37,44	36,81	1221194	
2015-09-22	36,46	-0,93	-2,47	37,55	36,19	1256480	
2015-09-23	36,61	0,15	0,41	36,78	36,17	1126609	
2015-09-24	36,16	-0,45	-1,23	36,81	35,83	1268274	
2015-09-25	37,73	1,58	4,36	37,88	36,48	1099104	
2015-09-28	37,95	0,22	0,58	38,58	37,54	1139920	
