Fecha	Cierre	Var	Var (%)	Máx	Mín	Vol. (acciones)	
2015-01-02	9,01	-0,04	-0,45	9,28	9,00	1163892	
2015-01-05	8,67	-0,34	-3,76	9,07	8,66	1190045	
2015-01-06	8,67	-0,00	-0,02	8,87	8,63	872117	
2015-01-07	8,66	-0,01	-0,10	8,86	8,61	896739	
2015-01-08	8,99	0,33	3,78	9,00	8,70	955159	
2015-01-09	8,76	-0,23	-2,54	8,95	8,62	1833774	
2015-01-12	8,51	-0,25	-2,83	8,77	8,42	2178118	
2015-01-13	8,49	-0,02	-0,21	8,56	8,39	1383868	
2015-01-14	8,00	-0,50	-5,85	8,39	7,93	4525014	
2015-01-15	8,13	0,13	1,66	8,22	7,76	2863564	
2015-01-16	8,38	0,25	3,09	8,40	8,07	1474400	
2015-01-19	8,30	-0,08	-0,98	8,42	8,18	1396788	
2015-01-20	8,59	0,29	3,53	8,60	8,31	1740987	
2015-01-21	8,69	0,10	1,16	8,70	8,46	1148820	
2015-01-22	8,75	0,06	0,72	8,95	8,67	1511507	
2015-01-23	8,29	-0,46	-5,24	8,84	8,25	2485668	
2015-01-26	8,46	0,16	1,98	8,48	8,12	1818236	
2015-01-27	8,40	-0,06	-0,70	8,57	8,26	1208912	
2015-01-28	8,45	0,05	0,58	8,60	8,37	1631315	
2015-01-29	8,34	-0,11	-1,25	8,46	8,28	1037337	
2015-01-30	8,47	0,13	1,50	8,50	8,28	763194	
2015-02-02	8,54	0,07	0,86	8,60	8,40	1146809	
2015-02-03	8,90	0,36	4,22	8,91	8,56	1984019	
2015-02-04	8,70	-0,20	-2,20	9,00	8,60	1331392	
2015-02-05	8,84	0,14	1,57	8,85	8,53	919227	
2015-02-06	8,74	-0,10	-1,13	8,94	8,74	873705	
2015-02-09	9,04	0,30	3,47	9,05	8,67	1469780	
2015-02-10	8,88	-0,16	-1,80	9,09	8,82	1187423	
2015-02-11	8,73	-0,15	-1,69	8,95	8,70	938090	
2015-02-12	9,12	0,39	4,49	9,20	8,74	1886830	
2015-02-13	9,56	0,44	4,77	9,59	8,64	4444974	
2015-02-16	9,84	0,29	2,99	9,87	9,61	2820456	
2015-02-17	9,69	-0,15	-1,55	9,91	9,54	1460911	
2015-02-18	9,88	0,19	1,93	9,95	9,72	1372712	
2015-02-19	9,65	-0,23	-2,31	9,87	9,47	2252427	
2015-02-20	9,64	-0,01	-0,10	9,80	9,62	1325859	
2015-02-23	9,55	-0,10	-0,99	9,83	9,51	1322272	
2015-02-24	9,68	0,14	1,44	9,73	9,51	1472159	
2015-02-25	9,62	-0,07	-0,67	9,76	9,57	603234	
2015-02-26	9,76	0,14	1,50	9,85	9,63	1150079	
2015-02-27	9,78	0,02	0,16	9,83	9,69	671433	
2015-03-02	9,62	-0,16	-1,62	9,87	9,52	1145932	
2015-03-03	9,62	0,00	0,01	9,78	9,61	786365	
2015-03-04	9,55	-0,07	-0,72	9,66	9,47	968377	
2015-03-05	9,68	0,13	1,36	9,71	9,25	948618	
2015-03-06	9,86	0,18	1,81	10,03	9,66	2497334	
2015-03-09	10,03	0,17	1,77	10,04	9,80	2128923	
2015-03-10	9,77	-0,26	-2,59	10,03	9,71	1532909	
2015-03-11	9,83	0,06	0,57	9,86	9,69	858933	
2015-03-12	9,76	-0,06	-0,64	9,90	9,76	923249	
2015-03-13	9,57	-0,19	-1,99	9,80	9,53	1105683	
2015-03-16	9,62	0,05	0,49	9,78	9,61	989011	
2015-03-17	9,53	-0,09	-0,94	9,70	9,46	835202	
2015-03-18	9,39	-0,14	-1,44	9,53	9,27	1677164	
2015-03-19	9,27	-0,12	-1,25	9,65	9,26	1477416	
2015-03-20	9,33	0,06	0,64	9,42	9,10	1767040	
2015-03-23	9,28	-0,05	-0,56	9,36	9,17	2709651	
2015-03-24	9,30	0,02	0,18	9,38	9,21	1818496	
2015-03-25	9,45	0,16	1,69	9,50	9,27	1728778	
2015-03-26	9,20	-0,25	-2,69	9,51	9,14	2602505	
2015-03-27	8,81	-0,39	-4,23	9,13	8,79	6556371	
2015-03-30	8,86	0,05	0,56	8,94	8,76	1809996	
2015-03-31	8,79	-0,07	-0,78	8,95	8,77	1579098	
2015-04-01	8,66	-0,13	-1,44	8,85	8,59	2057639	
2015-04-02	8,66	0,00	0,00	8,69	8,57	952993	
2015-04-07	9,00	0,34	3,89	9,03	8,80	3051548	
2015-04-08	8,94	-0,07	-0,72	9,13	8,92	1999055	
2015-04-09	8,90	-0,04	-0,43	9,01	8,76	1581951	
2015-04-10	9,03	0,13	1,46	9,07	8,90	1416875	
2015-04-13	8,89	-0,13	-1,48	9,04	8,88	2636203	
2015-04-14	9,18	0,29	3,22	9,18	8,88	3916934	
2015-04-15	9,43	0,25	2,76	9,47	9,20	3673694	
2015-04-16	9,19	-0,24	-2,54	9,51	9,19	2444811	
2015-04-17	8,91	-0,28	-3,07	9,17	8,81	3070572	
2015-04-20	8,98	0,07	0,76	9,03	8,87	1071560	
2015-04-21	8,82	-0,15	-1,72	9,03	8,77	1815372	
2015-04-22	8,95	0,13	1,43	8,97	8,75	1200239	
2015-04-23	9,09	0,14	1,55	9,10	8,79	1416265	
2015-04-24	9,57	0,48	5,24	9,64	9,22	4172370	
2015-04-27	9,86	0,29	3,03	9,91	9,56	3040533	
2015-04-28	10,04	0,19	1,88	10,04	9,74	2667368	
2015-04-29	9,55	-0,49	-4,88	9,91	9,50	2891841	
2015-04-30	9,53	-0,02	-0,23	9,62	9,47	1152204	
2015-05-04	9,67	0,14	1,48	9,75	9,54	1116229	
2015-05-05	9,68	0,01	0,11	9,82	9,61	1351468	
2015-05-06	9,55	-0,13	-1,34	9,73	9,48	928531	
2015-05-07	9,37	-0,18	-1,91	9,40	9,10	2199645	
2015-05-08	9,40	0,18	1,99	9,41	9,22	986829	
2015-05-11	9,48	0,08	0,82	9,53	9,40	538443	
2015-05-12	9,86	0,38	3,98	9,86	9,33	1478759	
2015-05-13	9,74	-0,11	-1,13	9,94	9,67	1064599	
2015-05-14	10,26	0,51	5,24	10,42	9,55	3926667	
2015-05-15	10,39	0,14	1,32	10,63	10,35	2315530	
2015-05-18	10,13	-0,26	-2,50	10,47	10,07	1927660	
2015-05-19	10,11	-0,03	-0,25	10,24	10,04	1771768	
2015-05-20	10,15	0,04	0,40	10,18	9,95	1147311	
2015-05-21	10,10	-0,05	-0,44	10,28	10,07	943851	
2015-05-22	10,00	-0,10	-1,02	10,18	10,00	896293	
2015-05-25	10,06	0,06	0,58	10,17	10,03	801056	
2015-05-26	10,13	0,07	0,70	10,29	10,06	1526856	
2015-05-27	10,21	0,09	0,84	10,24	10,04	1057584	
2015-05-28	10,00	-0,21	-2,10	10,17	9,91	1468636	
2015-05-29	9,71	-0,29	-2,88	10,05	9,70	1311802	
2015-06-01	9,64	-0,07	-0,69	9,87	9,61	921756	
2015-06-02	10,02	0,38	3,93	10,10	9,67	1286958	
2015-06-03	10,31	0,29	2,89	10,36	9,93	1682763	
2015-06-04	10,02	-0,29	-2,81	10,20	10,01	1174236	
2015-06-05	9,88	-0,14	-1,40	10,00	9,74	902129	
2015-06-08	9,73	-0,16	-1,57	9,89	9,68	728619	
2015-06-09	9,91	0,19	1,92	9,98	9,59	1011973	
2015-06-10	10,02	0,10	1,04	10,08	9,82	1179669	
2015-06-11	9,76	-0,26	-2,57	10,05	9,68	1399565	
2015-06-12	9,62	-0,14	-1,43	9,80	9,54	902704	
2015-06-15	9,55	-0,07	-0,71	9,64	9,38	951899	
2015-06-16	9,47	-0,09	-0,89	9,50	9,22	840865	
2015-06-17	9,33	-0,14	-1,48	9,52	9,31	464552	
2015-06-18	9,14	-0,18	-1,94	9,46	9,12	1308813	
2015-06-19	9,19	0,04	0,47	9,34	9,15	797701	
2015-06-22	9,33	0,15	1,60	9,38	9,24	797936	
2015-06-23	9,42	0,09	0,91	9,47	9,32	953987	
2015-06-24	9,48	0,06	0,65	9,60	9,46	871483	
2015-06-25	9,33	-0,15	-1,61	9,54	9,30	735365	
2015-06-26	9,30	-0,02	-0,25	9,44	9,23	837499	
2015-06-29	9,03	-0,28	-2,96	9,14	8,85	1834940	
2015-06-30	8,75	-0,28	-3,06	9,03	8,75	1848915	
2015-07-01	8,80	0,04	0,48	8,94	8,74	2233158	
2015-07-02	8,67	-0,13	-1,47	8,84	8,66	740829	
2015-07-03	8,70	0,03	0,33	8,74	8,57	1190057	
2015-07-06	8,41	-0,29	-3,28	8,55	8,36	1117516	
2015-07-07	7,91	-0,50	-5,97	8,40	7,89	2865576	
2015-07-08	8,13	0,22	2,82	8,26	7,93	1489341	
2015-07-09	8,16	0,03	0,37	8,34	8,12	1543156	
2015-07-10	8,30	0,14	1,65	8,46	8,29	1472498	
2015-07-13	8,42	0,12	1,48	8,42	8,25	1797948	
2015-07-14	8,40	-0,02	-0,19	8,55	8,38	1547760	
2015-07-15	8,31	-0,09	-1,09	8,45	8,26	903831	
2015-07-16	8,31	0,00	0,00	8,37	8,23	1854906	
2015-07-17	8,23	-0,08	-1,01	8,35	8,22	1308617	
2015-07-20	8,23	0,00	0,04	8,42	8,16	1512979	
2015-07-21	8,38	0,15	1,87	8,43	8,20	1859669	
2015-07-22	8,11	-0,27	-3,24	8,31	8,04	3249935	
2015-07-23	8,06	-0,05	-0,63	8,20	8,05	2154282	
2015-07-24	7,86	-0,20	-2,44	8,14	7,82	1782431	
2015-07-27	7,82	-0,05	-0,60	7,98	7,69	1626696	
2015-07-28	8,03	0,22	2,76	8,05	7,84	1257049	
2015-07-29	8,20	0,16	2,04	8,20	7,89	1220237	
2015-07-30	8,11	-0,08	-1,02	8,29	8,08	1065391	
2015-07-31	8,26	0,15	1,82	8,40	8,13	1285838	
2015-08-03	8,14	-0,12	-1,44	8,25	8,02	1119014	
2015-08-04	8,28	0,13	1,65	8,38	8,12	1226772	
2015-08-05	8,67	0,39	4,72	8,75	8,31	2064289	
2015-08-06	8,63	-0,04	-0,47	8,72	8,51	755313	
2015-08-07	8,68	0,05	0,59	8,83	8,56	853380	
2015-08-10	8,70	0,02	0,24	8,74	8,41	886528	
2015-08-11	8,33	-0,37	-4,27	8,69	8,31	1052641	
2015-08-12	8,10	-0,23	-2,71	8,18	8,01	1129111	
2015-08-13	7,96	-0,14	-1,70	8,35	7,95	778307	
2015-08-14	7,95	-0,02	-0,19	8,09	7,89	711618	
2015-08-17	7,98	0,03	0,42	8,05	7,87	529149	
2015-08-18	7,88	-0,10	-1,23	7,94	7,81	1108936	
2015-08-19	7,67	-0,21	-2,71	7,89	7,64	875969	
2015-08-20	7,67	-0,00	-0,03	7,79	7,61	643245	
2015-08-21	7,37	-0,30	-3,87	7,65	7,36	1238412	
2015-08-24	6,68	-0,69	-9,31	7,12	6,49	3149374	
2015-08-25	6,91	0,22	3,31	7,17	6,75	1855617	
2015-08-26	6,68	-0,23	-3,30	6,96	6,65	1133853	
2015-08-27	7,06	0,39	5,80	7,17	6,79	1237677	
2015-08-28	7,24	0,18	2,49	7,37	7,05	1003899	
2015-08-31	6,93	-0,31	-4,30	7,17	6,81	1025647	
2015-09-01	6,76	-0,17	-2,47	6,92	6,62	1007719	
2015-09-02	6,68	-0,08	-1,20	6,88	6,64	788290	
2015-09-03	6,91	0,23	3,41	7,01	6,71	1217923	
2015-09-04	6,51	-0,40	-5,72	6,84	6,50	1210207	
2015-09-07	6,52	0,01	0,12	6,68	6,51	696145	
2015-09-08	6,60	0,08	1,27	6,65	6,54	659761	
2015-09-09	6,64	0,04	0,61	6,80	6,63	1051577	
2015-09-10	6,39	-0,25	-3,76	6,60	6,34	957024	
2015-09-11	6,30	-0,09	-1,42	6,49	6,29	523293	
2015-09-14	6,11	-0,20	-3,10	6,40	6,04	1191886	
2015-09-15	6,25	0,14	2,29	6,27	5,97	1393680	
2015-09-16	6,29	0,05	0,78	6,32	6,13	1036863	
2015-09-17	6,22	-0,08	-1,19	6,36	6,16	884484	
2015-09-18	5,93	-0,29	-4,68	6,19	5,85	1535797	
2015-09-21	5,81	-0,12	-2,01	6,01	5,81	640538	
2015-09-22	5,46	-0,35	-6,06	5,76	5,41	2081849	
2015-09-23	5,28	-0,18	-3,28	5,56	5,27	1295730	
2015-09-24	5,12	-0,16	-2,96	5,39	5,09	1726342	
2015-09-25	5,04	-0,08	-1,64	5,35	5,03	1725757	
2015-09-28	4,63	-0,40	-8,02	5,05	4,61	2559656	
2015-09-29	4,69	0,05	1,14	4,83	4,51	3047434	
2015-09-30	4,66	-0,03	-0,64	4,84	4,62	2679522	
2015-10-01	4,47	-0,19	-4,02	4,82	4,43	2575139	
2015-10-02	4,77	0,30	6,73	4,77	4,46	2069495	
2015-10-05	5,16	0,39	8,15	5,21	5,01	2448320	
2015-10-06	5,18	0,02	0,33	5,26	5,00	1868647	
2015-10-07	5,53	0,35	6,84	5,88	5,22	3311156	
2015-10-08	5,62	0,09	1,63	5,73	5,43	2854770	
2015-10-09	5,96	0,34	5,96	6,19	5,89	2835765	
2015-10-12	5,78	-0,18	-3,04	6,15	5,74	2042772	
2015-10-13	5,66	-0,11	-1,94	5,73	5,41	2069720	
2015-10-14	5,70	0,03	0,58	5,80	5,46	1691701	
2015-10-15	5,70	0,01	0,09	5,85	5,63	1161797	
2015-10-16	5,64	-0,06	-1,12	5,77	5,61	1112832	
2015-10-19	5,47	-0,16	-2,91	5,69	5,47	1434321	
2015-10-20	5,31	-0,16	-2,91	5,48	5,22	1529679	
