Fecha	Cierre	Var	Var (%)	Máx	Mín	Vol. (acciones)	
2015-01-02	7,92	0,07	0,84	8,03	7,85	21443892	
2015-01-05	7,57	-0,35	-4,37	7,92	7,55	35968311	
2015-01-06	7,45	-0,12	-1,62	7,68	7,45	26571085	
2015-01-07	7,47	0,02	0,30	7,65	7,44	30402110	
2015-01-08	7,56	0,08	1,12	7,68	7,35	43595319	
2015-01-09	7,32	-0,24	-3,15	7,55	7,23	56223443	
2015-01-12	7,38	0,06	0,79	7,44	7,25	29709671	
2015-01-13	7,48	0,11	1,42	7,55	7,35	21666660	
2015-01-14	7,40	-0,09	-1,14	7,59	7,34	29360942	
2015-01-15	7,49	0,09	1,23	7,56	7,21	37043044	
2015-01-16	7,53	0,04	0,59	7,56	7,42	33298212	
2015-01-19	7,65	0,12	1,59	7,71	7,49	24011733	
2015-01-20	7,82	0,17	2,18	7,87	7,70	41002987	
2015-01-21	7,86	0,04	0,55	7,90	7,66	35257063	
2015-01-22	7,98	0,12	1,46	8,06	7,83	47782854	
2015-01-23	7,99	0,01	0,16	8,14	7,89	52209894	
2015-01-26	8,01	0,02	0,20	8,06	7,85	23217271	
2015-01-27	7,90	-0,10	-1,30	8,00	7,79	29140931	
2015-01-28	7,61	-0,29	-3,71	7,96	7,56	43651187	
2015-01-29	7,61	0,01	0,07	7,70	7,48	29413809	
2015-01-30	7,60	-0,01	-0,18	7,70	7,52	39445963	
2015-02-02	7,64	0,04	0,47	7,64	7,39	41861749	
2015-02-03	7,93	0,30	3,88	7,97	7,71	49563823	
2015-02-04	8,16	0,23	2,84	8,31	8,06	66021745	
2015-02-05	8,13	-0,02	-0,29	8,14	7,95	30840870	
2015-02-06	8,24	0,10	1,27	8,26	8,08	34224920	
2015-02-09	8,00	-0,24	-2,87	8,15	7,92	29284032	
2015-02-10	8,10	0,10	1,30	8,20	8,00	24705953	
2015-02-11	8,04	-0,07	-0,81	8,12	7,98	21965500	
2015-02-12	8,25	0,21	2,58	8,29	7,97	34434152	
2015-02-13	8,50	0,26	3,09	8,56	8,28	44384163	
2015-02-16	8,44	-0,06	-0,69	8,62	8,41	24213174	
2015-02-17	8,55	0,11	1,32	8,62	8,32	34597374	
2015-02-18	8,74	0,19	2,16	8,75	8,61	35677734	
2015-02-19	8,79	0,05	0,62	8,80	8,61	36526986	
2015-02-20	8,78	-0,01	-0,09	8,89	8,65	32169202	
2015-02-23	8,87	0,09	1,01	8,95	8,78	24806127	
2015-02-24	8,86	-0,01	-0,10	8,95	8,80	25091891	
2015-02-25	8,80	-0,06	-0,68	8,87	8,76	19667548	
2015-02-26	8,91	0,11	1,22	8,94	8,76	22108961	
2015-02-27	8,98	0,07	0,79	8,98	8,86	34280411	
2015-03-02	8,97	-0,01	-0,09	9,05	8,90	26107866	
2015-03-03	8,83	-0,14	-1,58	9,01	8,79	22744504	
2015-03-04	8,89	0,06	0,68	8,92	8,75	19051984	
2015-03-05	8,97	0,08	0,90	9,00	8,88	25334517	
2015-03-06	9,03	0,06	0,65	9,06	8,93	23494591	
2015-03-09	8,99	-0,04	-0,41	9,01	8,88	18146160	
2015-03-10	8,90	-0,09	-0,97	9,01	8,80	23096777	
2015-03-11	9,02	0,12	1,31	9,03	8,88	22567058	
2015-03-12	9,09	0,06	0,71	9,12	9,00	29285390	
2015-03-13	9,13	0,05	0,50	9,16	9,04	18155752	
2015-03-16	9,18	0,05	0,53	9,25	9,13	26322165	
2015-03-17	9,08	-0,10	-1,10	9,20	9,00	23422680	
2015-03-18	9,02	-0,06	-0,62	9,11	8,92	30807304	
2015-03-19	9,08	0,05	0,60	9,16	9,01	26442628	
2015-03-20	9,37	0,29	3,23	9,43	9,04	48991862	
2015-03-23	9,41	0,04	0,45	9,45	9,29	35968024	
2015-03-24	9,56	0,15	1,59	9,60	9,38	29331521	
2015-03-25	9,49	-0,07	-0,75	9,59	9,43	18522867	
2015-03-26	9,50	0,01	0,13	9,51	9,34	23108728	
2015-03-27	9,43	-0,07	-0,72	9,55	9,42	22788500	
2015-03-30	9,41	0,11	1,19	9,46	9,35	19720229	
2015-03-31	9,41	-0,00	-0,02	9,49	9,33	24238619	
2015-04-01	9,59	0,18	1,93	9,59	9,34	28573355	
2015-04-02	9,66	0,07	0,74	9,68	9,55	21863395	
2015-04-07	9,73	0,06	0,66	9,77	9,69	34430292	
2015-04-08	9,59	-0,13	-1,35	9,75	9,54	20800548	
2015-04-09	9,64	0,04	0,45	9,67	9,57	15663958	
2015-04-10	9,56	-0,08	-0,80	9,67	9,48	24503142	
2015-04-13	9,71	0,15	1,59	9,73	9,54	15563847	
2015-04-14	9,56	-0,16	-1,60	9,75	9,49	29852221	
2015-04-15	9,66	0,10	1,06	9,71	9,57	27494832	
2015-04-16	9,43	-0,23	-2,36	9,68	9,39	35104650	
2015-04-17	9,20	-0,23	-2,45	9,45	9,13	35416388	
2015-04-20	9,18	-0,02	-0,26	9,20	9,11	23446667	
2015-04-21	9,27	0,09	0,98	9,34	9,15	26295338	
2015-04-22	9,29	0,03	0,30	9,36	9,15	36700328	
2015-04-23	9,37	0,08	0,85	9,37	9,16	19005320	
2015-04-24	9,37	0,00	0,00	9,53	9,28	21912699	
2015-04-27	9,51	0,14	1,47	9,57	9,24	31555021	
2015-04-28	9,45	-0,06	-0,60	9,52	9,40	19516943	
2015-04-29	9,10	-0,36	-3,79	9,40	9,08	53026073	
2015-04-30	9,00	-0,10	-1,04	9,11	8,97	43947075	
2015-05-04	9,04	0,04	0,44	9,11	8,89	29290512	
2015-05-05	8,83	-0,22	-2,38	9,15	8,80	35661414	
2015-05-06	8,95	0,12	1,41	9,00	8,83	24690558	
2015-05-07	9,00	0,05	0,57	9,05	8,80	31565343	
2015-05-08	9,13	0,13	1,46	9,13	9,01	28549480	
2015-05-11	9,09	-0,04	-0,43	9,14	9,03	13607277	
2015-05-12	9,04	-0,05	-0,55	9,07	8,96	20966786	
2015-05-13	9,03	-0,01	-0,09	9,17	9,00	18597558	
2015-05-14	9,16	0,13	1,38	9,20	8,95	18485407	
2015-05-15	9,07	-0,09	-0,96	9,22	9,02	22101647	
2015-05-18	9,03	-0,05	-0,50	9,08	8,91	32753949	
2015-05-19	9,21	0,19	2,07	9,23	9,08	25013522	
2015-05-20	9,31	0,09	1,00	9,33	9,17	16859262	
2015-05-21	9,32	0,01	0,15	9,32	9,20	18383270	
2015-05-22	9,29	-0,03	-0,27	9,34	9,27	12787491	
2015-05-25	9,10	-0,19	-2,09	9,20	9,03	11849609	
2015-05-26	9,00	-0,10	-1,14	9,11	8,94	39770134	
2015-05-27	9,17	0,17	1,90	9,21	8,99	21243758	
2015-05-28	9,09	-0,08	-0,82	9,16	9,01	13310252	
2015-05-29	8,99	-0,10	-1,09	9,14	8,96	25881682	
2015-06-01	8,99	0,00	0,00	9,09	8,93	13278145	
2015-06-02	9,07	0,08	0,86	9,16	8,91	23210277	
2015-06-03	9,15	0,08	0,89	9,23	9,05	20178993	
2015-06-04	9,07	-0,08	-0,85	9,21	8,97	20088462	
2015-06-05	8,99	-0,08	-0,91	9,04	8,90	21912804	
