Fecha	Cierre	Var	Var (%)	Máx	Mín	Vol. (acciones)	
2015-05-07	14,00	0,00	0,00	0,00	0,00	0	
2015-05-08	15,25	-0,16	-1,04	15,70	15,12	4259772	
2015-05-11	15,00	-0,25	-1,64	15,35	15,00	2269021	
2015-05-12	15,10	0,10	0,67	15,12	15,00	1886844	
2015-05-13	15,50	0,40	2,65	15,65	15,11	1624077	
2015-05-14	15,80	0,30	1,94	15,95	15,41	1497868	
2015-05-15	15,40	-0,40	-2,53	16,00	15,24	441373	
2015-05-18	15,28	-0,12	-0,78	15,60	15,20	743076	
2015-05-19	15,70	0,42	2,75	15,74	15,35	593751	
2015-05-20	15,75	0,05	0,32	15,80	15,53	504813	
2015-05-21	15,67	-0,08	-0,51	15,93	15,61	663863	
2015-05-22	15,28	-0,39	-2,49	15,86	15,28	605998	
2015-05-25	15,20	-0,08	-0,52	15,31	15,05	272562	
2015-05-26	15,00	-0,20	-1,32	15,30	15,00	1134744	
2015-05-27	15,25	0,25	1,67	15,44	15,03	668599	
2015-05-28	15,25	0,00	0,00	15,37	15,13	526245	
2015-05-29	15,34	0,09	0,59	15,41	15,20	147188	
2015-06-01	15,80	0,46	3,00	15,85	15,27	422031	
2015-06-02	16,10	0,30	1,90	16,25	15,70	916668	
2015-06-03	16,58	0,48	2,98	16,60	16,19	1398216	
2015-06-04	16,53	-0,05	-0,30	16,68	16,37	572892	
2015-06-05	16,00	-0,53	-3,21	16,48	15,76	531926	
2015-06-08	15,86	-0,14	-0,88	16,18	15,40	746424	
2015-06-09	15,52	-0,35	-2,18	16,00	15,47	494300	
2015-06-10	15,65	0,14	0,87	15,94	15,45	468790	
2015-06-11	15,54	-0,11	-0,70	15,99	15,40	333795	
2015-06-12	15,27	-0,28	-1,77	15,65	15,21	805934	
2015-06-15	15,52	0,25	1,64	15,99	15,28	354816	
2015-06-16	15,25	-0,27	-1,71	15,60	15,21	480997	
2015-06-17	15,10	-0,15	-0,98	15,39	15,10	559131	
2015-06-18	15,30	0,20	1,29	15,34	15,10	387685	
2015-06-19	15,50	0,21	1,34	15,72	15,25	158446	
2015-06-22	15,38	-0,12	-0,77	15,86	15,38	412021	
2015-06-23	15,31	-0,07	-0,46	15,50	15,25	283879	
2015-06-24	15,10	-0,21	-1,37	15,35	15,10	914957	
2015-06-25	15,10	0,00	0,00	15,24	15,04	633564	
2015-06-26	15,43	0,33	2,19	15,43	15,10	1171949	
2015-06-29	15,05	-0,38	-2,46	15,17	14,53	818244	
2015-06-30	15,18	0,13	0,83	15,39	14,89	625527	
2015-07-01	15,65	0,48	3,13	15,80	15,20	323862	
2015-07-02	15,10	-0,55	-3,51	15,80	15,10	2776423	
2015-07-03	15,15	0,05	0,33	15,51	15,13	307775	
2015-07-06	15,10	-0,05	-0,33	15,32	14,95	296708	
2015-07-07	15,10	0,00	0,00	15,45	15,05	438812	
2015-07-08	15,10	0,00	0,00	15,33	15,10	460354	
2015-07-09	15,00	-0,10	-0,66	15,12	14,96	930498	
2015-07-10	15,14	0,14	0,93	15,29	15,05	1954443	
2015-07-13	15,33	0,19	1,25	15,45	15,13	487817	
2015-07-14	15,16	-0,17	-1,11	15,38	15,11	1514722	
2015-07-15	15,29	0,13	0,86	15,47	15,10	1108586	
2015-07-16	15,40	0,11	0,72	15,50	15,24	384388	
2015-07-17	15,40	0,00	0,00	15,53	15,17	692036	
2015-07-20	15,40	0,00	0,00	15,50	15,21	1037660	
2015-07-21	15,25	-0,15	-0,97	15,47	15,22	406424	
2015-07-22	15,20	-0,05	-0,33	15,38	15,16	472999	
2015-07-23	15,08	-0,12	-0,79	15,35	15,06	849329	
2015-07-24	15,10	0,02	0,13	15,23	14,95	222323	
2015-07-27	15,08	-0,02	-0,13	15,30	15,01	350576	
2015-07-28	15,10	0,02	0,13	15,34	15,06	393618	
2015-07-29	15,15	0,05	0,33	15,30	15,03	235959	
2015-07-30	15,15	0,00	0,00	15,35	15,13	204219	
2015-07-31	15,09	-0,06	-0,40	15,25	15,03	190105	
2015-08-03	15,10	0,01	0,07	15,14	14,95	907784	
2015-08-04	15,75	0,65	4,30	16,55	15,04	1555954	
2015-08-05	16,34	0,59	3,75	16,47	15,60	889095	
2015-08-06	16,26	-0,09	-0,52	16,40	16,07	1453033	
2015-08-07	16,39	0,14	0,83	16,58	16,03	1340617	
2015-08-10	16,30	-0,09	-0,55	16,49	16,08	883653	
2015-08-11	16,25	-0,05	-0,31	16,35	16,14	501775	
2015-08-12	16,09	-0,17	-1,02	16,38	16,00	797563	
2015-08-13	16,01	-0,08	-0,47	16,34	16,01	620479	
2015-08-14	16,12	0,11	0,69	16,29	15,90	794837	
2015-08-17	16,00	-0,12	-0,74	16,22	15,90	543173	
2015-08-18	16,03	0,03	0,19	16,18	15,82	470526	
2015-08-19	16,09	0,06	0,37	16,19	15,89	276062	
2015-08-20	15,88	-0,22	-1,34	16,13	15,62	686487	
2015-08-21	15,44	-0,44	-2,74	15,85	15,44	365924	
2015-08-24	14,93	-0,51	-3,30	15,25	14,85	320892	
2015-08-25	15,24	0,31	2,08	15,32	14,97	1097591	
2015-08-26	15,00	-0,24	-1,57	15,29	14,86	876397	
2015-08-27	15,34	0,34	2,27	15,39	15,02	2161858	
2015-08-28	15,52	0,18	1,17	15,58	15,26	1125669	
2015-08-31	15,84	0,32	2,06	15,87	15,33	375527	
2015-09-01	15,56	-0,29	-1,80	15,62	15,24	632330	
2015-09-02	15,40	-0,16	-1,00	15,48	15,23	542657	
2015-09-03	15,42	0,02	0,13	15,55	15,21	1046420	
2015-09-04	15,43	0,01	0,06	15,49	15,24	206455	
2015-09-07	15,50	0,07	0,45	15,55	15,11	165458	
2015-09-08	15,76	0,26	1,68	15,85	15,42	368056	
2015-09-09	16,02	0,26	1,65	16,19	15,62	1772197	
2015-09-10	16,00	-0,02	-0,12	16,13	15,70	586041	
2015-09-11	15,87	-0,14	-0,84	16,10	15,82	319942	
2015-09-14	15,26	-0,61	-3,81	15,95	15,26	668567	
2015-09-15	15,29	0,03	0,16	15,77	15,02	1351100	
2015-09-16	15,35	0,06	0,39	15,62	15,11	698109	
2015-09-17	15,53	0,18	1,17	15,67	15,29	376496	
2015-09-18	15,47	-0,06	-0,35	15,62	15,23	935894	
2015-09-21	15,60	0,13	0,84	16,00	15,31	954963	
2015-09-22	15,46	-0,14	-0,90	15,67	15,39	612552	
2015-09-23	15,85	0,39	2,49	15,86	15,39	614333	
2015-09-24	15,41	-0,44	-2,78	15,87	15,17	265207	
2015-09-25	15,69	0,28	1,82	15,85	15,49	314858	
