Fecha	Cierre	Var	Var (%)	Máx	Mín	Vol. (acciones)	
2015-01-02	0,57	0,02	4,39	0,57	0,54	4790570	
2015-01-05	0,57	-0,01	-0,88	0,58	0,56	4344061	
2015-01-06	0,56	-0,01	-1,59	0,57	0,55	3164762	
2015-01-07	0,57	0,01	1,97	0,57	0,54	5350359	
2015-01-08	0,57	0,01	1,06	0,58	0,57	5039017	
2015-01-09	0,57	-0,01	-1,57	0,58	0,56	3772311	
2015-01-12	0,56	-0,00	-0,53	0,58	0,55	4024022	
2015-01-13	0,58	0,01	2,31	0,58	0,55	5032347	
2015-01-14	0,56	-0,02	-3,30	0,57	0,55	4671553	
2015-01-15	0,55	-0,00	-0,72	0,56	0,55	8300974	
2015-01-16	0,57	0,02	3,08	0,57	0,55	7129773	
2015-01-19	0,58	0,01	2,11	0,58	0,57	9034576	
2015-01-20	0,58	0,00	0,34	0,59	0,58	9282016	
2015-01-21	0,58	0,00	0,17	0,59	0,58	6646809	
2015-01-22	0,58	-0,00	-0,68	0,59	0,58	26022781	
2015-01-23	0,60	0,02	2,93	0,60	0,58	17483677	
2015-01-26	0,62	0,02	4,02	0,62	0,58	30559115	
2015-01-27	0,61	-0,02	-2,58	0,63	0,60	13607032	
2015-01-28	0,60	-0,00	-0,66	0,63	0,60	14029827	
2015-01-29	0,63	0,02	3,99	0,63	0,60	13000046	
2015-01-30	0,60	-0,03	-4,00	0,64	0,60	42100072	
2015-02-02	0,62	0,02	3,83	0,62	0,60	11303023	
2015-02-03	0,64	0,01	1,93	0,64	0,62	15260548	
2015-02-04	0,63	-0,01	-0,79	0,64	0,63	10577475	
2015-02-05	0,62	-0,01	-1,75	0,63	0,61	17312854	
2015-02-06	0,61	-0,01	-0,81	0,62	0,61	12668070	
2015-02-09	0,60	-0,01	-2,12	0,62	0,60	27728226	
2015-02-10	0,60	0,00	0,33	0,61	0,60	13159558	
2015-02-11	0,59	-0,02	-2,49	0,61	0,59	10431955	
2015-02-12	0,60	0,01	2,38	0,61	0,58	11857087	
2015-02-13	0,61	0,01	1,16	0,61	0,60	9141620	
2015-02-16	0,60	-0,01	-1,15	0,61	0,60	6815915	
2015-02-17	0,60	-0,00	-0,50	0,61	0,59	7103247	
2015-02-18	0,61	0,01	1,17	0,61	0,60	10594771	
2015-02-19	0,63	0,02	3,96	0,63	0,61	27036734	
2015-02-20	0,63	0,00	0,00	0,63	0,62	9457964	
2015-02-23	0,63	0,00	0,16	0,64	0,62	10730651	
2015-02-24	0,64	0,01	1,58	0,65	0,63	24404845	
2015-02-25	0,64	-0,00	-0,47	0,64	0,64	10518612	
2015-02-26	0,67	0,03	5,33	0,69	0,64	31361995	
2015-02-27	0,66	-0,02	-2,53	0,68	0,65	15261442	
2015-03-02	0,65	-0,00	-0,46	0,67	0,64	25831133	
2015-03-03	0,64	-0,02	-2,61	0,66	0,63	9119282	
2015-03-04	0,63	-0,01	-0,79	0,64	0,62	12772094	
2015-03-05	0,64	0,01	0,95	0,64	0,63	9795235	
