Fecha	Cierre	Var	Var (%)	Máx	Mín	Vol. (acciones)	
2015-01-02	16,08	-0,10	-0,59	16,32	15,87	1872082	
2015-01-05	15,57	-0,51	-3,17	16,13	15,51	2510696	
2015-01-06	15,60	0,03	0,19	15,86	15,47	2153784	
2015-01-07	15,67	0,08	0,48	15,78	15,55	2194706	
2015-01-08	15,95	0,28	1,75	16,05	15,73	2238074	
2015-01-09	16,14	0,20	1,22	16,40	15,97	3006151	
2015-01-12	16,32	0,18	1,12	16,60	16,06	2557724	
2015-01-13	16,22	-0,10	-0,61	16,48	16,11	3042962	
2015-01-14	16,28	0,06	0,34	16,38	16,03	4659648	
2015-01-15	16,50	0,23	1,38	16,64	16,01	2337622	
2015-01-16	16,87	0,37	2,24	16,90	16,42	2716071	
2015-01-19	16,95	0,08	0,47	17,04	16,86	1969446	
2015-01-20	16,88	-0,07	-0,41	17,19	16,75	2470702	
2015-01-21	16,91	0,03	0,18	16,99	16,67	1943052	
2015-01-22	17,78	0,87	5,12	17,80	16,94	4342965	
2015-01-23	17,55	-0,23	-1,27	17,87	17,47	3402452	
2015-01-26	17,96	0,41	2,31	18,03	17,41	2385646	
2015-01-27	17,69	-0,27	-1,48	18,00	17,57	1881057	
2015-01-28	17,61	-0,08	-0,45	17,83	17,46	1687742	
2015-01-29	17,97	0,36	2,02	18,02	17,52	1648984	
2015-01-30	17,69	-0,28	-1,56	18,05	17,61	2080693	
2015-02-02	17,51	-0,18	-1,02	17,75	17,06	2700221	
2015-02-03	17,81	0,31	1,74	17,89	17,47	2206872	
2015-02-04	17,59	-0,22	-1,24	17,62	17,36	3027086	
2015-02-05	17,33	-0,26	-1,48	17,51	17,11	2701576	
2015-02-06	17,24	-0,09	-0,52	17,37	16,99	2239753	
2015-02-09	16,90	-0,34	-1,97	17,13	16,82	1795964	
2015-02-10	17,06	0,16	0,92	17,09	16,74	2153812	
2015-02-11	16,87	-0,19	-1,08	17,19	16,81	2598710	
2015-02-12	17,00	0,13	0,77	17,04	16,72	2428874	
2015-02-13	17,00	0,00	0,00	17,23	16,91	1932201	
2015-02-16	16,51	-0,49	-2,88	17,03	16,40	3071170	
2015-02-17	16,56	0,05	0,27	16,64	16,27	2771742	
2015-02-18	16,75	0,20	1,18	16,95	16,71	2860366	
2015-02-19	16,84	0,09	0,51	16,91	16,71	5836406	
2015-02-20	16,89	0,05	0,30	16,89	16,72	1997516	
2015-02-23	17,00	0,12	0,68	17,10	16,90	2624563	
2015-02-24	17,10	0,10	0,59	17,12	16,96	4308073	
2015-02-25	17,95	0,85	4,97	18,13	17,28	7334615	
2015-02-26	18,05	0,10	0,53	18,13	17,79	8090530	
2015-02-27	18,07	0,03	0,14	18,19	17,96	30944967	
2015-03-02	18,07	0,00	0,00	18,20	18,06	4078360	
2015-03-03	17,85	-0,22	-1,22	18,17	17,78	3367901	
2015-03-04	17,68	-0,18	-0,98	17,94	17,57	2723584	
2015-03-05	17,88	0,20	1,13	17,92	17,58	1849387	
2015-03-06	17,49	-0,39	-2,15	17,95	17,42	1761425	
2015-03-09	17,64	0,15	0,83	17,64	17,25	2521669	
2015-03-10	17,63	-0,01	-0,03	17,75	17,51	3162229	
2015-03-11	17,99	0,36	2,01	18,02	17,65	4793437	
2015-03-12	17,80	-0,19	-1,03	18,07	17,73	1883607	
