Fecha	Cierre	Var	Var (%)	Máx	Mín	Vol. (acciones)	
2015-01-02	33,45	0,33	1,00	33,85	33,15	325773	
2015-01-05	32,82	-0,64	-1,90	33,30	32,62	613973	
2015-01-06	32,04	-0,78	-2,36	32,99	31,89	631141	
2015-01-07	32,07	0,03	0,08	32,34	31,72	495978	
2015-01-08	32,48	0,42	1,29	32,65	32,26	635472	
2015-01-09	32,21	-0,28	-0,85	32,65	31,91	1415539	
2015-01-12	32,33	0,13	0,39	32,64	32,25	711817	
2015-01-13	32,67	0,34	1,04	33,00	32,04	625035	
2015-01-14	32,67	0,00	0,00	32,96	32,15	601149	
2015-01-15	33,20	0,53	1,62	33,28	31,81	739298	
2015-01-16	33,20	0,00	0,00	33,23	32,13	663942	
2015-01-19	34,83	1,64	4,93	34,93	33,21	682244	
2015-01-20	35,19	0,36	1,03	35,29	34,49	839043	
2015-01-21	35,35	0,16	0,44	35,68	34,85	889410	
2015-01-22	35,05	-0,30	-0,85	35,53	34,67	894179	
2015-01-23	35,61	0,57	1,61	36,00	35,10	1112979	
2015-01-26	36,63	1,02	2,86	36,84	35,42	914834	
2015-01-27	36,50	-0,13	-0,35	37,41	36,31	794344	
2015-01-28	37,61	1,11	3,04	37,70	36,56	1116553	
2015-01-29	37,24	-0,37	-0,98	37,79	36,91	795910	
2015-01-30	37,25	0,01	0,03	37,80	37,10	838541	
2015-02-02	37,00	-0,25	-0,67	37,45	36,51	477817	
2015-02-03	36,64	-0,36	-0,97	37,30	36,64	547684	
2015-02-04	36,65	0,01	0,01	37,07	36,51	582391	
2015-02-05	36,50	-0,15	-0,40	36,83	36,17	394420	
2015-02-06	36,50	0,00	0,00	36,57	36,01	525616	
2015-02-09	35,96	-0,54	-1,48	36,59	35,75	348506	
2015-02-10	36,13	0,17	0,46	36,33	35,78	579660	
2015-02-11	35,20	-0,93	-2,56	35,89	33,80	1969606	
2015-02-12	34,94	-0,26	-0,74	35,99	34,37	1169404	
2015-02-13	35,60	0,66	1,87	35,83	35,00	780520	
2015-02-16	35,71	0,11	0,31	35,78	35,50	430082	
2015-02-17	35,87	0,16	0,45	35,95	35,20	381990	
2015-02-18	36,49	0,63	1,74	36,60	35,87	643750	
2015-02-19	36,65	0,16	0,42	36,73	36,05	611239	
2015-02-20	36,22	-0,43	-1,17	36,70	35,88	450098	
2015-02-23	36,80	0,59	1,62	36,87	36,02	461133	
2015-02-24	36,38	-0,43	-1,15	36,96	36,26	3378493	
2015-02-25	36,86	0,49	1,33	36,86	36,01	623263	
2015-02-26	36,72	-0,14	-0,38	38,45	34,50	1256992	
2015-02-27	36,26	-0,47	-1,27	37,32	36,00	947598	
2015-03-02	35,80	-0,46	-1,25	36,37	35,42	826391	
2015-03-03	35,19	-0,62	-1,72	36,50	35,12	673750	
2015-03-04	35,78	0,59	1,68	35,78	35,12	633459	
2015-03-05	36,67	0,90	2,50	37,00	35,79	823392	
2015-03-06	36,76	0,09	0,25	37,19	36,56	562856	
2015-03-09	36,90	0,14	0,38	37,38	36,55	684231	
2015-03-10	36,81	-0,10	-0,26	37,08	36,26	541823	
2015-03-11	36,97	0,16	0,43	37,40	36,80	518685	
2015-03-12	37,45	0,48	1,30	37,50	36,93	822191	
2015-03-13	38,85	1,40	3,74	39,08	37,50	1036814	
2015-03-16	39,58	0,74	1,89	39,72	38,75	576740	
2015-03-17	39,42	-0,16	-0,40	39,91	38,90	507772	
2015-03-18	39,39	-0,04	-0,09	39,67	39,21	465246	
2015-03-19	39,73	0,34	0,86	39,80	39,16	689668	
2015-03-20	40,27	0,55	1,37	41,35	39,89	1127388	
2015-03-23	40,58	0,31	0,77	40,58	39,58	1010661	
2015-03-24	40,78	0,20	0,49	41,20	40,25	734201	
2015-03-25	39,95	-0,83	-2,04	40,65	39,72	856892	
2015-03-26	39,25	-0,70	-1,75	39,71	38,65	919577	
2015-03-27	39,39	0,14	0,34	39,69	39,12	557476	
2015-03-30	40,04	0,66	1,66	40,09	39,58	435440	
