Fecha	Cierre	Var	Var (%)	Máx	Mín	Vol. (acciones)	
2015-01-02	6,21	0,02	0,39	6,35	6,18	4775665	
2015-01-05	6,30	0,09	1,45	6,42	6,16	5478968	
2015-01-06	6,11	-0,19	-3,03	6,35	6,11	4557016	
2015-01-07	6,14	0,03	0,46	6,26	6,11	5613264	
2015-01-08	6,06	-0,08	-1,29	6,24	6,00	5111301	
2015-01-09	5,98	-0,08	-1,32	6,10	5,93	6087322	
2015-01-12	5,99	0,01	0,13	6,08	5,96	5993156	
2015-01-13	6,31	0,32	5,31	6,31	6,01	5627905	
2015-01-14	6,24	-0,07	-1,05	6,41	6,19	6350950	
2015-01-15	6,41	0,17	2,72	6,43	6,20	6877595	
2015-01-16	6,45	0,04	0,58	6,46	6,34	5371905	
2015-01-19	6,45	0,01	0,08	6,48	6,41	3078449	
2015-01-20	6,68	0,22	3,46	6,71	6,47	4924551	
2015-01-21	6,67	-0,01	-0,10	6,75	6,59	5636315	
2015-01-22	6,93	0,26	3,84	6,99	6,64	6760178	
2015-01-23	7,14	0,22	3,13	7,24	6,91	8639402	
2015-01-26	7,34	0,20	2,77	7,58	7,08	8653727	
2015-01-27	7,48	0,14	1,93	7,54	7,39	5725760	
2015-01-28	7,51	0,02	0,32	7,56	7,41	4631207	
2015-01-29	7,50	-0,01	-0,11	7,62	7,37	8549032	
2015-01-30	7,25	-0,25	-3,32	7,82	7,21	8325013	
2015-02-02	7,03	-0,23	-3,10	7,25	6,97	8192851	
2015-02-03	7,05	0,02	0,34	7,10	6,85	4554059	
2015-02-04	7,21	0,16	2,28	7,21	6,87	5795270	
2015-02-05	7,27	0,06	0,76	7,30	7,10	3876123	
2015-02-06	7,26	-0,00	-0,01	7,31	7,19	3184219	
2015-02-09	7,20	-0,06	-0,88	7,26	7,14	4408759	
2015-02-10	7,24	0,04	0,57	7,31	7,15	4181006	
2015-02-11	7,45	0,21	2,94	7,52	7,26	4880813	
2015-02-12	7,57	0,12	1,61	7,58	7,39	4873026	
2015-02-13	7,47	-0,10	-1,37	7,60	7,45	3635205	
2015-02-16	7,54	0,07	0,96	7,57	7,45	3158194	
2015-02-17	7,59	0,05	0,61	7,61	7,46	3383212	
2015-02-18	7,50	-0,09	-1,15	7,65	7,50	4412010	
2015-02-19	7,65	0,15	1,99	7,66	7,48	4072950	
2015-02-20	7,46	-0,19	-2,46	7,63	7,37	3801373	
2015-02-23	7,66	0,20	2,64	7,73	7,52	4976760	
2015-02-24	7,68	0,02	0,27	7,75	7,64	5596497	
2015-02-25	7,64	-0,04	-0,51	7,72	7,62	3168871	
2015-02-26	7,71	0,07	0,88	7,71	7,53	4204341	
2015-02-27	8,00	0,29	3,75	8,20	7,84	23009444	
2015-03-02	7,90	-0,10	-1,23	8,05	7,85	4781456	
2015-03-03	7,64	-0,26	-3,28	7,93	7,64	5264445	
2015-03-04	7,85	0,21	2,71	7,86	7,66	4100170	
2015-03-05	7,77	-0,08	-1,02	7,89	7,74	4719613	
2015-03-06	7,63	-0,14	-1,80	7,81	7,59	4175261	
2015-03-09	7,66	0,03	0,45	7,68	7,51	4448571	
2015-03-10	7,68	0,02	0,23	7,76	7,59	4269542	
2015-03-11	7,94	0,26	3,33	7,95	7,72	3464871	
2015-03-12	8,02	0,08	1,02	8,05	7,87	4968237	
2015-03-13	8,06	0,05	0,56	8,08	7,96	2527390	
2015-03-16	8,11	0,05	0,62	8,18	8,07	2768806	
2015-03-17	8,00	-0,11	-1,32	8,12	7,90	3488845	
2015-03-18	7,97	-0,03	-0,37	8,04	7,93	2809467	
2015-03-19	8,07	0,09	1,15	8,09	7,98	2200352	
2015-03-20	8,15	0,09	1,05	8,20	8,05	3681256	
2015-03-23	8,10	-0,05	-0,58	8,18	8,06	3288561	
2015-03-24	8,39	0,28	3,48	8,39	8,06	6056051	
2015-03-25	8,27	-0,12	-1,43	8,56	8,23	4269242	
2015-03-26	8,00	-0,27	-3,22	8,21	7,78	10666052	
2015-03-27	8,13	0,13	1,60	8,22	8,06	5524627	
2015-03-30	8,25	0,13	1,54	8,26	8,07	3520446	
2015-03-31	8,35	0,10	1,20	8,39	8,20	4254982	
2015-04-01	8,27	-0,08	-0,99	8,38	8,12	3891724	
2015-04-02	8,16	-0,11	-1,34	8,32	8,08	3634276	
2015-04-07	8,10	-0,06	-0,70	8,20	7,86	5402290	
2015-04-08	8,17	0,07	0,83	8,19	8,06	5321324	
2015-04-09	8,32	0,16	1,91	8,33	8,20	4109606	
