Fecha	Cierre	Var	Var (%)	Máx	Mín	Vol. (acciones)	
2015-01-02	5,60	-0,00	-0,02	5,68	5,54	12289607	
2015-01-05	5,50	-0,10	-1,80	5,62	5,48	33362925	
2015-01-06	5,47	-0,02	-0,40	5,54	5,45	30504982	
2015-01-07	5,47	-0,01	-0,13	5,51	5,43	17520271	
2015-01-08	5,57	0,11	1,98	5,59	5,48	25011445	
2015-01-09	5,51	-0,07	-1,17	5,61	5,44	34921241	
2015-01-12	5,51	0,00	0,00	5,58	5,47	27275564	
2015-01-13	5,54	0,03	0,58	5,57	5,49	19142335	
2015-01-14	5,48	-0,06	-1,10	5,58	5,44	32633246	
2015-01-15	5,53	0,05	0,82	5,55	5,35	26535977	
2015-01-16	5,59	0,07	1,21	5,61	5,50	27996031	
2015-01-19	5,67	0,08	1,39	5,68	5,61	18655103	
2015-01-20	5,70	0,03	0,60	5,73	5,66	21775252	
2015-01-21	5,77	0,07	1,16	5,80	5,70	25627501	
2015-01-22	5,96	0,19	3,29	5,97	5,82	44430169	
2015-01-23	6,10	0,14	2,35	6,12	5,98	36520633	
2015-01-26	6,13	0,03	0,49	6,15	6,01	18530750	
2015-01-27	6,13	0,00	0,05	6,18	6,10	26464294	
2015-01-28	6,14	0,00	0,07	6,18	6,06	16552399	
2015-01-29	6,18	0,05	0,73	6,19	6,09	18729935	
2015-01-30	6,13	-0,05	-0,87	6,24	6,09	32654088	
2015-02-02	6,06	-0,06	-1,04	6,13	5,98	26059591	
2015-02-03	6,13	0,06	1,01	6,17	6,08	21650203	
2015-02-04	6,09	-0,04	-0,59	6,15	6,06	24738406	
2015-02-05	6,01	-0,08	-1,30	6,05	5,97	22730459	
2015-02-06	5,99	-0,02	-0,33	6,03	5,97	15570766	
2015-02-09	5,86	-0,13	-2,17	5,94	5,82	23876331	
2015-02-10	5,91	0,05	0,77	5,93	5,82	20090452	
2015-02-11	5,78	-0,13	-2,17	5,93	5,77	24443939	
2015-02-12	5,83	0,06	0,97	5,89	5,74	35337338	
2015-02-13	5,85	0,01	0,22	5,89	5,84	16540107	
2015-02-16	5,77	-0,07	-1,27	5,85	5,75	16432964	
2015-02-17	5,82	0,04	0,74	5,83	5,69	18347273	
2015-02-18	5,80	-0,02	-0,33	5,90	5,78	24905613	
2015-02-19	5,93	0,13	2,31	5,95	5,79	40264537	
2015-02-20	5,91	-0,02	-0,40	5,96	5,85	24626385	
2015-02-23	5,96	0,05	0,88	5,99	5,92	14165716	
2015-02-24	6,10	0,14	2,38	6,12	5,98	29666396	
2015-02-25	6,05	-0,05	-0,85	6,15	6,04	20913085	
2015-02-26	6,11	0,06	1,01	6,12	6,04	19964751	
2015-02-27	6,11	-0,00	-0,03	6,14	6,06	26292564	
2015-03-02	6,06	-0,04	-0,70	6,15	6,05	15841509	
2015-03-03	5,96	-0,10	-1,70	6,08	5,95	17944168	
2015-03-04	6,01	0,05	0,82	6,01	5,94	17618484	
