Fecha	Cierre	Var	Var (%)	Máx	Mín	Vol. (acciones)	
2015-01-02	23,79	0,08	0,34	24,05	23,59	3009774	
2015-01-05	22,98	-0,81	-3,38	23,88	22,96	3681622	
2015-01-06	22,70	-0,29	-1,24	23,13	22,69	3267744	
2015-01-07	22,96	0,27	1,17	23,21	22,61	4235399	
2015-01-08	23,92	0,96	4,16	23,94	23,24	4151560	
2015-01-09	23,47	-0,45	-1,86	23,99	23,26	5367656	
2015-01-12	23,62	0,15	0,64	23,98	23,39	4767714	
2015-01-13	24,33	0,71	3,01	24,48	23,56	2814599	
2015-01-14	24,57	0,24	0,99	24,84	24,04	6145427	
2015-01-15	24,43	-0,14	-0,57	24,99	23,80	6522343	
2015-01-16	24,53	0,10	0,39	24,70	24,25	3995732	
2015-01-19	24,75	0,23	0,92	24,89	24,55	2194136	
2015-01-20	25,42	0,67	2,69	25,42	24,82	8794257	
2015-01-21	25,97	0,55	2,16	25,97	25,36	6100927	
2015-01-22	26,11	0,15	0,56	26,27	25,57	6187088	
2015-01-23	26,60	0,49	1,88	27,10	26,20	6242406	
2015-01-26	27,04	0,44	1,65	27,11	26,37	3796230	
2015-01-27	26,62	-0,43	-1,57	27,13	26,50	4003587	
2015-01-28	26,46	-0,16	-0,58	26,90	26,32	6255246	
2015-01-29	26,29	-0,18	-0,66	26,42	26,01	4766813	
2015-01-30	26,14	-0,15	-0,57	26,55	26,05	7285861	
2015-02-02	26,12	-0,02	-0,06	26,35	25,85	3048734	
2015-02-03	26,61	0,49	1,86	26,66	26,28	5248762	
2015-02-04	26,47	-0,14	-0,51	26,73	26,32	3322105	
2015-02-05	26,40	-0,08	-0,28	26,45	26,11	2787479	
2015-02-06	26,22	-0,18	-0,66	26,38	26,13	2379363	
2015-02-09	25,64	-0,59	-2,23	26,10	25,46	3249407	
2015-02-10	26,41	0,78	3,02	26,41	25,69	3267262	
2015-02-11	25,85	-0,56	-2,12	26,49	25,77	2926279	
2015-02-12	26,32	0,47	1,82	26,63	25,75	3046155	
2015-02-13	26,65	0,33	1,23	26,85	26,41	3070580	
2015-02-16	26,40	-0,25	-0,92	26,62	26,31	1653718	
2015-02-17	26,41	0,01	0,04	26,44	25,97	2563107	
2015-02-18	26,89	0,48	1,82	26,99	26,45	3001936	
2015-02-19	27,58	0,69	2,57	27,58	26,70	4868978	
2015-02-20	27,30	-0,28	-1,02	27,50	27,01	3658212	
2015-02-23	27,79	0,49	1,79	27,92	27,51	2511396	
2015-02-24	28,15	0,36	1,28	28,18	27,88	3933523	
2015-02-25	27,92	-0,23	-0,82	28,06	27,84	3017371	
