Fecha	Cierre	Var	Var (%)	Máx	Mín	Vol. (acciones)	
2015-01-02	44,14	0,08	0,17	44,42	43,29	124738	
2015-01-05	43,51	-0,64	-1,44	44,54	43,34	183082	
2015-01-06	43,92	0,41	0,94	44,34	43,04	139949	
2015-01-07	44,64	0,72	1,64	44,85	43,76	296645	
2015-01-08	46,18	1,54	3,45	46,35	44,77	203669	
2015-01-09	46,47	0,30	0,64	46,94	46,00	312756	
2015-01-12	46,10	-0,37	-0,80	46,94	46,00	287917	
2015-01-13	46,66	0,56	1,20	47,18	46,00	165557	
2015-01-14	49,00	2,35	5,03	49,90	46,40	337413	
2015-01-15	49,55	0,55	1,11	49,88	48,76	257865	
2015-01-16	49,67	0,13	0,25	50,60	48,90	289519	
2015-01-19	49,72	0,05	0,10	50,18	49,47	101545	
2015-01-20	49,43	-0,29	-0,58	49,58	47,21	293097	
2015-01-21	49,29	-0,15	-0,29	49,63	48,68	156840	
2015-01-22	50,00	0,72	1,45	50,05	48,88	239597	
2015-01-23	50,50	0,50	1,00	50,67	50,01	135353	
2015-01-26	50,87	0,37	0,73	50,91	50,15	136924	
2015-01-27	51,35	0,48	0,94	51,62	50,64	181654	
2015-01-28	51,25	-0,10	-0,19	51,46	49,13	157853	
2015-01-29	51,39	0,14	0,27	52,28	49,81	166076	
2015-01-30	51,25	-0,14	-0,27	51,59	50,47	116565	
2015-02-02	51,25	0,00	0,00	51,25	50,79	188557	
2015-02-03	51,11	-0,14	-0,27	52,25	51,03	194249	
2015-02-04	51,04	-0,07	-0,14	51,69	50,93	97872	
2015-02-05	51,39	0,35	0,69	51,55	50,70	177782	
2015-02-06	51,25	-0,14	-0,27	51,40	50,71	112767	
2015-02-09	51,05	-0,20	-0,39	51,20	50,71	113587	
2015-02-10	51,54	0,49	0,96	51,85	51,00	149600	
2015-02-11	51,05	-0,49	-0,95	51,69	50,95	176941	
2015-02-12	51,50	0,45	0,88	52,00	50,64	103780	
2015-02-13	51,87	0,37	0,72	52,00	51,30	301789	
2015-02-16	50,79	-1,08	-2,08	51,76	50,62	112083	
2015-02-17	51,19	0,40	0,79	51,33	49,41	127015	
2015-02-18	51,33	0,14	0,27	51,55	51,04	96608	
2015-02-19	52,41	1,08	2,10	52,70	51,40	107077	
2015-02-20	52,07	-0,34	-0,65	52,48	51,78	162944	
2015-02-23	53,00	0,93	1,79	53,00	51,42	118629	
2015-02-24	53,57	0,57	1,08	53,60	52,50	222710	
2015-02-25	53,60	0,03	0,06	54,29	52,32	159229	
2015-02-26	54,29	0,69	1,29	54,35	52,50	125585	
2015-02-27	55,11	0,82	1,51	55,25	54,16	263810	
2015-03-02	55,56	0,45	0,82	56,09	55,10	321531	
2015-03-03	54,60	-0,96	-1,73	56,12	54,55	157009	
2015-03-04	55,30	0,70	1,28	55,38	54,33	195650	
2015-03-05	56,00	0,70	1,27	56,00	55,43	202606	
2015-03-06	55,74	-0,26	-0,46	56,30	55,69	143001	
2015-03-09	55,25	-0,49	-0,88	55,50	54,63	108624	
2015-03-10	55,25	0,00	0,00	55,64	54,49	228246	
2015-03-11	56,56	1,31	2,37	56,90	55,30	189565	
2015-03-12	56,16	-0,40	-0,71	56,79	55,86	140437	
2015-03-13	56,74	0,58	1,03	56,77	56,05	87349	
2015-03-16	57,38	0,64	1,13	57,65	56,81	74936	
2015-03-17	56,55	-0,83	-1,45	57,58	56,24	100279	
2015-03-18	56,44	-0,11	-0,19	56,68	56,05	117716	
2015-03-19	56,45	0,01	0,02	56,70	56,20	136750	
2015-03-20	57,30	0,85	1,51	57,48	56,45	218191	
2015-03-23	56,65	-0,65	-1,13	57,41	56,60	79620	
2015-03-24	57,74	1,09	1,92	57,74	56,47	199515	
2015-03-25	56,79	-0,95	-1,65	57,82	56,79	130347	
2015-03-26	56,12	-0,67	-1,18	56,73	55,67	149160	
2015-03-27	56,17	0,05	0,09	56,86	55,88	157646	
2015-03-30	57,51	1,34	2,39	57,64	56,29	172563	
2015-03-31	56,90	-0,61	-1,06	57,81	56,69	116723	
2015-04-01	57,25	0,35	0,62	57,50	56,19	98241	
2015-04-02	57,94	0,69	1,21	57,94	57,35	79602	
2015-04-07	58,83	0,89	1,54	58,95	58,08	116067	
2015-04-08	58,58	-0,25	-0,42	59,32	58,58	119843	
2015-04-09	59,00	0,42	0,72	59,11	58,45	139326	
2015-04-10	59,59	0,59	1,00	59,65	58,98	180346	
2015-04-13	59,74	0,15	0,25	59,90	59,40	89130	
2015-04-14	59,68	-0,06	-0,10	59,94	59,40	104532	
2015-04-15	60,30	0,62	1,04	60,93	59,64	256560	
2015-04-16	59,91	-0,39	-0,65	60,47	59,63	147544	
2015-04-17	59,14	-0,77	-1,29	60,62	59,10	135743	
2015-04-20	59,30	0,16	0,27	59,79	58,93	103166	
2015-04-21	60,00	0,70	1,18	60,20	59,30	113135	
2015-04-22	59,65	-0,35	-0,58	60,23	59,49	136682	
2015-04-23	59,00	-0,65	-1,09	60,05	58,88	95437	
2015-04-24	59,58	0,58	0,98	60,00	59,14	239635	
2015-04-27	59,85	0,27	0,45	60,25	58,67	206038	
2015-04-28	58,72	-1,13	-1,89	59,99	58,12	140544	
2015-04-29	57,09	-1,63	-2,78	59,00	56,78	119980	
2015-04-30	56,75	-0,34	-0,60	57,18	56,04	171881	
2015-05-04	57,90	1,15	2,03	57,90	56,84	95568	
2015-05-05	56,66	-1,24	-2,14	58,20	56,53	116511	
2015-05-06	56,00	-0,66	-1,16	56,88	55,74	97080	
