Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,4.903320,5.193320,4.903320,4.903320,3.382467,190029
2002-01-03,4.969990,5.026660,4.959990,4.969990,3.428459,282658
2002-01-04,5.003320,5.049990,4.976660,5.003320,3.451452,260100
2002-01-07,4.936660,5.059990,4.936660,4.936660,3.405467,256925
2002-01-08,4.983320,5.006660,4.936660,4.983320,3.437655,189842
2002-01-09,4.949990,5.033320,4.916660,4.949990,3.414663,139846
2002-01-10,4.959990,4.979990,4.923320,4.959990,3.421561,248745
2002-01-11,5.079990,5.089990,4.966660,5.079990,3.504341,303908
2002-01-14,4.973320,5.139990,4.973320,4.973320,3.430756,395439
2002-01-15,4.999990,5.066660,4.919990,4.999990,3.449154,388711
2002-01-16,4.939990,5.059990,4.903320,4.939990,3.407765,1056406
2002-01-17,5.006660,5.009990,4.949990,5.006660,3.453755,203479
2002-01-18,5.003320,5.046660,4.966660,5.003320,3.451452,151695
2002-01-21,4.973320,5.033320,4.973320,4.973320,3.430756,130848
2002-01-22,4.999990,5.083320,4.953320,4.999990,3.449154,320917
2002-01-23,5.116660,5.116660,4.986660,5.116660,3.529637,994054
2002-01-24,5.233320,5.256660,5.076660,5.233320,3.610113,768203
2002-01-25,5.333320,5.333320,5.183320,5.333320,3.679096,439957
2002-01-28,5.399990,5.433320,5.323320,5.399990,3.725087,886211
2002-01-29,5.499990,5.533320,5.416660,5.499990,3.794071,574695
2002-01-30,5.416660,5.496660,5.383320,5.416660,3.736586,772780
2002-01-31,5.403320,5.483320,5.386660,5.403320,3.727384,279466
2002-02-01,5.496660,5.529990,5.336660,5.496660,3.791774,341477
2002-02-04,5.483320,5.506660,5.403320,5.483320,3.782571,201936
2002-02-05,5.393320,5.463320,5.333320,5.393320,3.720486,385782
2002-02-06,5.333320,5.479990,5.319990,5.333320,3.679096,254802
2002-02-07,5.319990,5.383320,5.209990,5.319990,3.669901,234977
2002-02-08,5.283320,5.333320,5.233320,5.283320,3.644606,96686
2002-02-11,5.283320,5.366660,5.243320,5.283320,3.644606,114357
2002-02-12,5.333320,5.359990,5.286660,5.333320,3.679096,516314
2002-02-13,5.483320,5.516660,5.333320,5.483320,3.782571,267400
2002-02-14,5.633320,5.649990,5.466660,5.633320,3.886046,322329
2002-02-15,5.663320,5.666660,5.583320,5.663320,3.906741,275903
2002-02-18,5.599990,5.699990,5.593320,5.599990,3.863053,218992
2002-02-19,5.503320,5.649990,5.493320,5.503320,3.796369,226417
2002-02-20,5.493320,5.579990,5.436660,5.493320,3.789469,126241
2002-02-21,5.493320,5.553320,5.443320,5.493320,3.789469,85674
2002-02-22,5.573320,5.573320,5.449990,5.573320,3.844656,145930
2002-02-25,5.646660,5.653320,5.493320,5.646660,3.895248,379069
2002-02-26,5.653320,5.706660,5.576660,5.653320,3.899842,311171
2002-02-27,5.749990,5.766660,5.669990,5.749990,3.966528,354015
2002-02-28,5.833320,5.833320,5.749990,5.833320,4.024013,415129
