Date,Open,High,Low,Close,Adj Close,Volume
2006-05-17,2.490000,2.640000,2.425000,2.545000,2.195702,97049192
2006-05-18,5.240000,5.250000,5.000000,5.250000,4.529444,8448336
2006-05-19,5.250000,5.390000,5.100000,5.200000,4.486307,2455830
2006-05-22,5.210000,5.210000,4.990000,5.100000,4.400032,2470143
2006-05-23,2.500000,2.525000,2.350000,2.500000,2.156878,21834718
2006-05-24,5.000000,5.090000,4.850000,5.000000,4.313756,4489061
2006-05-25,4.990000,5.020000,4.870000,5.000000,4.313756,2618105
2006-05-26,5.000000,5.090000,5.000000,5.050000,4.356895,1311893
2006-05-29,5.150000,5.150000,5.030000,5.100000,4.400032,1735952
2006-05-30,5.110000,5.110000,5.000000,5.090000,4.391405,844576
2006-05-31,5.050000,5.590000,5.050000,5.450000,4.701994,2293234
2006-06-01,5.500000,5.700000,5.450000,5.450000,4.701994,2149399
2006-06-02,5.540000,5.590000,5.450000,5.530000,4.771015,2310906
2006-06-05,5.500000,5.640000,5.130000,5.610000,4.840036,1496564
2006-06-06,5.550000,5.650000,5.500000,5.600000,4.831407,1464903
2006-06-07,5.610000,5.860000,5.610000,5.800000,5.003958,2412732
2006-06-08,5.730000,5.950000,5.650000,5.800000,5.003958,2193628
2006-06-09,5.900000,6.000000,5.890000,5.900000,5.090233,1900961
2006-06-12,6.070000,6.070000,5.850000,5.850000,5.047095,509988
2006-06-13,5.740000,5.740000,5.400000,5.600000,4.831407,1078405
2006-06-14,5.770000,5.770000,5.500000,5.610000,4.840036,819313
2006-06-15,2.666500,2.700000,2.647500,2.690500,2.321233,1694058
2006-06-16,2.781000,2.781000,2.524000,2.619000,2.259546,2543170
2006-06-19,5.600000,5.710000,5.450000,5.600000,4.831407,1000156
2006-06-20,5.450000,5.700000,5.450000,5.500000,4.745132,530849
2006-06-21,5.590000,5.750000,5.580000,5.660000,4.883173,691810
2006-06-22,5.740000,6.170000,5.740000,5.900000,5.090233,1278342
2006-06-23,5.950000,6.250000,5.860000,6.230000,5.374941,1180333
2006-06-26,6.260000,6.860000,6.080000,6.120000,5.280038,1682791
2006-06-27,6.250000,6.260000,5.960000,6.100000,5.262784,759694
2006-06-28,6.000000,6.300000,6.000000,6.250000,5.392196,348767
2006-06-29,6.290000,6.490000,6.270000,6.380000,5.504354,853568
2006-06-30,6.500000,6.520000,6.250000,6.430000,5.547490,769590
2006-07-03,6.480000,6.500000,6.350000,6.500000,5.607884,445233
2006-07-04,6.500000,6.550000,6.380000,6.380000,5.504354,301219
2006-07-05,6.370000,6.370000,6.130000,6.240000,5.383568,211404
2006-07-06,6.230000,6.430000,6.220000,6.400000,5.521609,870175
2006-07-07,6.440000,6.440000,6.320000,6.350000,5.478471,536112
2006-07-10,6.400000,6.480000,6.380000,6.400000,5.521609,978279
2006-07-11,6.420000,6.460000,6.360000,6.440000,5.556118,443887
2006-07-12,6.470000,6.550000,6.360000,6.550000,5.651021,1401117
2006-07-13,6.530000,6.530000,6.400000,6.470000,5.582001,607244
2006-07-14,6.400000,6.480000,6.330000,6.440000,5.556118,613604
2006-07-17,6.480000,6.520000,6.250000,6.400000,5.521609,735480
2006-07-18,6.430000,6.480000,6.280000,6.440000,5.556118,525655
2006-07-19,6.400000,6.480000,6.300000,6.370000,5.495727,1249529
2006-07-20,6.390000,6.650000,6.260000,6.390000,5.512980,2138943
2006-07-21,6.450000,6.700000,6.400000,6.610000,5.702787,2750520
2006-07-24,6.680000,6.750000,6.620000,6.700000,5.780434,949830
2006-07-25,6.780000,7.150000,6.760000,6.900000,5.952984,1290652
2006-07-26,6.900000,7.040000,6.720000,6.720000,5.797690,879386
2006-07-27,6.840000,6.840000,6.620000,6.650000,5.737296,501028
2006-07-28,6.750000,6.800000,6.560000,6.560000,5.659648,661371
2006-07-31,6.640000,6.750000,6.500000,6.740000,5.814943,341786
2006-08-01,6.700000,6.700000,6.540000,6.610000,5.702787,345513
2006-08-02,6.670000,6.690000,6.510000,6.600000,5.694160,505549
2006-08-03,6.610000,6.610000,6.500000,6.500000,5.607884,499438
2006-08-04,6.510000,6.560000,6.440000,6.450000,5.564745,284330
2006-08-07,6.400000,6.400000,6.150000,6.190000,5.340431,700578
2006-08-08,6.340000,6.450000,6.270000,6.380000,5.504354,322489
2006-08-09,6.490000,6.540000,6.300000,6.400000,5.521609,325722
2006-08-10,6.350000,6.360000,6.250000,6.300000,5.435333,151502
2006-08-11,6.320000,6.440000,6.260000,6.260000,5.400824,310664
2006-08-14,6.300000,6.340000,6.180000,6.180000,5.331803,601286
2006-08-15,6.170000,6.300000,6.150000,6.200000,5.349058,448577
2006-08-16,6.230000,6.250000,6.130000,6.190000,5.340431,1012420
