Date,Open,High,Low,Close,Adj Close,Volume
2014-06-30,8.811950,8.856010,8.503540,8.503540,8.086060,6142204
2014-07-01,8.609280,9.071910,8.591660,8.882450,8.446366,2756054
2014-07-02,8.886860,9.155620,8.829580,9.111560,8.664228,3859368
2014-07-03,9.120370,9.384730,9.063100,9.208490,8.756401,8637328
2014-07-04,9.384730,9.384730,9.080720,9.305420,8.848571,8488664
2014-07-07,9.252550,9.270180,9.164430,9.243740,8.789919,1989577
2014-07-08,9.239330,9.239330,9.010220,9.076310,8.630709,921234
2014-07-09,9.093940,9.093940,8.952950,8.988190,8.546914,2403956
2014-07-10,9.014630,9.032250,8.811950,8.811950,8.379328,307960
2014-07-11,9.102750,9.102750,8.811950,8.811950,8.379328,139580
2014-07-14,8.930920,8.935320,8.715020,8.856010,8.421225,1275836
2014-07-15,8.900070,8.900070,8.741460,8.811950,8.379328,239096
2014-07-16,8.803140,8.856010,8.803140,8.856010,8.421225,294746
2014-07-17,8.811950,8.856010,8.810190,8.811950,8.379328,151327
2014-07-18,8.847200,8.847200,8.732650,8.767890,8.337431,243450
2014-07-21,8.829580,8.838390,8.733530,8.811950,8.379328,129990
2014-07-22,8.811950,8.820770,8.803140,8.811950,8.379328,181931
2014-07-23,8.829580,8.829580,8.734410,8.811950,8.379328,142281
2014-07-24,8.820770,8.829580,8.811950,8.829580,8.396093,68292
2014-07-25,8.811950,8.820770,8.803140,8.811950,8.379328,230501
2014-07-28,8.803140,8.811950,8.737930,8.811950,8.379328,340347
2014-07-29,8.803140,8.829580,8.733530,8.803140,8.370950,169567
2014-07-30,8.803140,8.811950,8.723840,8.803140,8.370950,180478
2014-07-31,8.767890,8.807550,8.706210,8.706210,8.278780,292834
2014-08-01,8.767890,8.767890,8.371360,8.512350,8.094436,610303
2014-08-04,8.626900,8.723840,8.371360,8.415420,8.002265,355473
2014-08-05,8.089370,8.366950,8.089370,8.213620,7.810373,784981
2014-08-06,8.208340,8.314080,8.107000,8.136960,7.737476,415885
2014-08-07,8.144010,8.477100,8.142250,8.292050,7.884952,991054
2014-08-08,8.252400,8.512350,8.018880,8.150180,7.750047,681700
2014-08-11,8.155460,8.263850,8.151060,8.195120,7.792781,292196
2014-08-12,8.195120,8.635720,8.156350,8.234770,7.830484,488461
2014-08-13,8.230370,8.489440,8.036500,8.084970,7.688039,586445
2014-08-14,8.070870,8.467410,8.018880,8.433040,8.019019,296964
2014-08-15,8.180140,8.548480,8.041790,8.283240,7.876575,471479
2014-08-18,8.265610,8.362540,8.133430,8.195120,7.792781,962048
2014-08-19,8.221550,8.283240,8.151060,8.283240,7.876575,369155
2014-08-20,8.199520,8.450660,8.170440,8.195120,7.792781,362067
2014-08-21,8.169560,8.283240,8.169560,8.178380,7.776863,142429
2014-08-22,8.181900,8.318490,8.178380,8.283240,7.876575,375786
2014-08-25,8.366950,8.600470,8.222430,8.600470,8.178229,441344
2014-08-26,8.490320,8.596060,8.329060,8.459480,8.044162,182347
2014-08-27,8.565220,8.635720,8.403080,8.626900,8.203363,268332
2014-08-28,8.506180,8.722950,8.476220,8.722950,8.294697,194735
