Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,9.350000,9.872500,9.337500,9.775000,6.171092,747660
2002-01-03,9.847500,10.000000,9.712500,9.712500,6.131636,2695880
2002-01-04,9.712500,9.997500,9.687500,9.997500,6.451043,1297372
2002-01-07,9.910000,10.062500,9.897500,9.975000,6.436525,921060
2002-01-08,9.917500,9.997500,9.680000,9.937500,6.412326,1472784
2002-01-09,9.877500,9.900000,9.675000,9.675000,6.242944,603980
2002-01-10,9.352500,9.587500,9.347500,9.462500,6.105825,1114848
2002-01-11,null,null,null,null,null,null
2002-01-14,9.572500,9.572500,9.350000,9.375000,6.049365,603016
2002-01-15,9.325000,9.472500,9.125000,9.150000,5.904179,1902328
2002-01-16,9.150000,9.355000,9.120000,9.312500,6.009036,1851476
2002-01-17,9.290000,9.490000,9.250000,9.412500,6.073563,1365572
2002-01-18,9.377500,9.437500,9.312500,9.312500,6.009036,1593636
2002-01-21,9.352500,9.442500,9.225000,9.375000,6.049365,844308
2002-01-22,9.302500,9.732500,9.237500,9.600000,6.194550,1124860
2002-01-23,9.402500,9.597500,9.402500,9.525000,6.146153,953280
2002-01-24,9.500000,9.525000,9.375000,9.450000,6.097760,486628
2002-01-25,9.500000,9.652500,9.412500,9.652500,6.228426,966852
2002-01-28,9.587500,9.812500,9.587500,9.750000,6.291339,886216
2002-01-29,9.750000,9.825000,9.687500,9.687500,6.251009,1115804
2002-01-30,9.722500,9.722500,9.525000,9.537500,6.154220,904020
2002-01-31,9.672500,9.750000,9.590000,9.700000,6.259075,796548
2002-02-01,9.750000,9.835000,9.725000,9.812500,6.331668,1811916
2002-02-04,9.700000,10.000000,9.692500,9.762500,6.299405,1562108
2002-02-05,9.825000,9.950000,9.727500,9.812500,6.331668,1574312
2002-02-06,9.837500,9.837500,9.662500,9.812500,6.331668,895248
2002-02-07,9.812500,9.900000,9.750000,9.850000,6.355866,660920
2002-02-08,9.852500,9.852500,9.775000,9.810000,6.330056,853912
2002-02-11,9.950000,9.950000,9.800000,9.855000,6.359091,748632
2002-02-12,9.847500,9.900000,9.780000,9.812500,6.331668,1139928
2002-02-13,9.812500,9.872500,9.750000,9.750000,6.291339,1422808
2002-02-14,9.757500,9.867500,9.750000,9.812500,6.331668,1988224
2002-02-15,9.870000,9.870000,9.755000,9.755000,6.294566,1586832
2002-02-18,9.755000,9.862500,9.687500,9.725000,6.275208,1022536
2002-02-19,9.870000,9.870000,9.675000,9.762500,6.299405,1137112
2002-02-20,9.687500,9.805000,9.687500,9.755000,6.294566,1290168
2002-02-21,9.702500,9.815000,9.702500,9.750000,6.291339,777972
2002-02-22,9.800000,9.825000,9.700000,9.797500,6.321988,5960404
2002-02-25,9.762500,9.812500,9.725000,9.787500,6.315537,346468
2002-02-26,9.822500,9.822500,9.700000,9.700000,6.259075,385048
2002-02-27,9.725000,9.872500,9.725000,9.787500,6.315537,922236
2002-02-28,9.750000,9.900000,9.725000,9.837500,6.347799,1296876
2002-03-01,null,null,null,null,null,null
2002-03-04,null,null,null,null,null,null
2002-03-05,null,null,null,null,null,null
2002-03-06,null,null,null,null,null,null
2002-03-07,null,null,null,null,null,null
2002-03-08,null,null,null,null,null,null
2002-03-11,null,null,null,null,null,null
2002-03-12,null,null,null,null,null,null
2002-03-13,null,null,null,null,null,null
2002-03-14,null,null,null,null,null,null
2002-03-15,null,null,null,null,null,null
2002-03-18,null,null,null,null,null,null
2002-03-19,null,null,null,null,null,null
2002-03-20,null,null,null,null,null,null
2002-03-21,null,null,null,null,null,null
2002-03-22,null,null,null,null,null,null
2002-03-25,null,null,null,null,null,null
2002-03-26,null,null,null,null,null,null
2002-03-27,null,null,null,null,null,null
2002-03-28,null,null,null,null,null,null
2002-03-29,null,null,null,null,null,null
2002-04-01,null,null,null,null,null,null
2002-04-02,10.045000,10.150000,9.990000,10.000000,6.452655,1125644
2002-04-03,9.887500,10.025000,9.850000,9.957500,6.425231,1120948
2002-04-04,9.950000,9.975000,9.887500,9.975000,6.575191,536732
2002-04-05,9.900000,10.050000,9.890000,10.025000,6.608150,1532272
2002-04-08,10.065000,10.065000,10.017500,10.025000,6.608150,2012496
2002-04-09,10.062500,10.075000,10.022500,10.030000,6.611446,707968
2002-04-10,10.025000,10.222500,10.025000,10.222500,6.738335,804728
2002-04-11,10.225000,10.450000,10.225000,10.375000,6.838859,1879720
2002-04-12,10.272500,10.425000,10.272500,10.350000,6.822380,739896
2002-04-15,10.437500,10.512500,10.350000,10.375000,6.838859,634208
2002-04-16,10.425000,10.525000,10.425000,10.500000,6.921255,1629260
2002-04-17,10.572500,10.572500,10.462500,10.500000,6.921255,1527016
2002-04-18,10.500000,10.575000,10.475000,10.550000,6.954214,653640
2002-04-19,10.500000,10.622500,10.500000,10.590000,6.980581,425216
2002-04-22,10.625000,10.662500,10.525000,10.650000,7.020131,425076
2002-04-23,10.625000,10.650000,10.597500,10.650000,7.020131,726472
2002-04-24,10.567500,10.800000,10.567500,10.775000,7.102525,618060
2002-04-25,10.612500,10.730000,10.587500,10.625000,7.003651,852540
2002-04-26,10.750000,10.775000,10.450000,10.450000,6.888296,462040
2002-04-29,10.500000,10.750000,10.252500,10.697500,7.051442,445028
2002-04-30,10.720000,10.775000,10.565000,10.625000,7.003651,1173048
2002-05-01,null,null,null,null,null,null
2002-05-02,10.625000,10.935000,10.625000,10.875000,7.168443,762592
