Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.910301,48.910301,46.088600,46.558899,9.011727,2136323
2000-01-04,46.511799,46.511799,44.442600,44.442600,8.602104,1338568
2000-01-05,43.972301,46.370800,41.573799,43.737099,8.465549,2040473
2000-01-06,43.737099,43.737099,43.737099,43.737099,8.465549,0
2000-01-07,43.266800,44.009899,42.608398,43.511398,8.464561,11096954
2000-01-10,44.207401,44.677700,43.153999,44.207401,8.599959,10787343
2000-01-11,44.771801,48.439999,44.226200,47.640499,9.267822,2813398
2000-01-12,47.311298,51.167702,46.812801,48.910301,9.514844,2553070
2000-01-13,49.662800,56.246899,49.004398,55.494400,10.795691,4601288
2000-01-14,55.494400,61.137901,54.553799,58.316200,11.344635,2779116
2000-01-17,59.162701,64.665100,59.162701,63.442299,12.341848,3912487
2000-01-18,65.840797,72.942200,63.912601,69.415001,13.503761,6551137
2000-01-19,69.415001,69.415001,59.256699,61.326000,11.930153,3686329
2000-01-20,63.865601,64.900299,55.964699,60.150299,11.701436,5076355
2000-01-21,61.137901,63.959702,56.199902,63.113098,12.277808,5594390
2000-01-24,63.959702,64.618103,62.548801,63.207199,12.296116,1527727
2000-01-25,62.548801,64.006699,61.796299,63.066101,12.268664,2096024
2000-01-26,64.335899,65.934898,63.348301,64.806198,12.607174,2346517
2000-01-27,65.699799,66.075996,63.301300,63.489399,12.351011,1793988
2000-01-28,65.840797,65.840797,62.078499,63.771500,12.405890,1936888
2000-01-31,62.736900,63.724499,59.256699,59.256699,11.527594,1541161
2000-02-01,59.256699,60.667599,57.328602,58.222099,11.326326,1879121
2000-02-02,58.551300,60.808701,57.563702,60.667599,11.802073,1641200
2000-02-03,61.137901,64.194801,60.808701,63.912601,12.433339,2129343
2000-02-04,63.912601,64.053703,60.808701,62.642799,12.186318,1596892
2000-02-07,62.736900,63.630501,59.821098,59.821098,11.637393,1374620
2000-02-08,60.197300,63.912601,59.727001,63.818600,12.415054,2037879
2000-02-09,63.959702,65.511597,63.066101,64.618103,12.570587,1696713
2000-02-10,63.959702,64.618103,63.583401,64.430000,12.533993,771649
2000-02-11,64.618103,69.838303,64.147797,64.900299,12.625484,4008395
2000-02-14,63.442299,64.430000,60.197300,62.078499,12.076537,3402878
2000-02-15,63.160198,63.160198,59.821098,59.915199,11.655704,899787
2000-02-16,60.667599,61.796299,57.845901,58.316200,11.344635,2191720
2000-02-17,58.786499,61.608200,58.504299,60.996799,11.866108,1128034
2000-02-18,61.608200,62.924999,60.338402,62.548801,12.168030,1562036
2000-02-21,63.019100,63.254200,60.432499,63.160198,12.286975,1224113
2000-02-22,63.254200,64.430000,62.219601,63.818600,12.415054,2482927
2000-02-23,64.241798,66.734398,63.066101,66.593300,12.954834,1556731
2000-02-24,66.687401,66.875504,64.759201,65.323502,12.707816,2331468
2000-02-25,64.712097,67.110603,64.571098,65.887901,12.817607,2505940
2000-02-28,65.746803,65.840797,61.561199,61.561199,11.975903,1617076
2000-02-29,63.019100,63.019100,61.608200,61.655201,11.994189,931948
2000-03-01,62.548801,62.877998,59.868099,60.432499,11.756331,1500484
2000-03-02,61.137901,62.031502,59.821098,60.385399,11.747169,2855983
2000-03-03,61.137901,61.420101,58.410198,59.162701,11.509310,2273254
2000-03-06,60.620602,60.620602,58.316200,58.363201,11.353778,1597004
2000-03-07,58.739399,62.642799,58.410198,61.137901,11.893561,2501293
2000-03-08,60.667599,63.113098,60.526501,61.796299,12.021646,1452886
2000-03-09,61.796299,62.078499,59.350800,60.197300,11.710579,2205913
2000-03-10,61.137901,61.137901,58.269100,58.316200,11.344635,2692005
2000-03-13,58.316200,58.316200,58.316200,58.316200,11.344635,0
2000-03-14,58.316200,61.137901,57.939899,59.821098,11.637393,2766772
2000-03-15,59.632999,60.902802,58.551300,59.821098,11.637393,2326099
2000-03-16,60.150299,60.667599,58.692402,59.538898,11.582493,1241395
2000-03-17,60.667599,60.808701,58.786499,59.021599,11.481859,1348791
2000-03-20,58.786499,59.256699,57.939899,58.034000,11.289732,1532283
2000-03-21,58.034000,59.727001,56.435001,59.680000,11.609950,2412083
2000-03-22,59.727001,60.385399,58.269100,59.256699,11.527594,1490192
2000-03-23,58.504299,61.702301,58.222099,61.655201,11.994189,1419545
2000-03-24,61.890400,64.430000,60.667599,64.382896,12.524830,3785103
2000-03-27,63.771500,65.652702,63.536400,64.006699,12.451647,2851693
2000-03-28,63.677502,64.853203,63.583401,64.147797,12.479090,831069
2000-03-29,63.489399,67.251701,63.489399,67.063599,13.046326,3029397
2000-03-30,65.840797,67.722000,63.959702,63.959702,12.442507,2255186
2000-03-31,62.924999,63.583401,61.373100,61.984402,12.058235,8071294
2000-04-03,61.702301,62.924999,59.632999,59.680000,11.652640,7841113
2000-04-04,59.680000,62.454700,59.209702,59.585999,11.634285,1404756
2000-04-05,60.855701,60.855701,58.786499,59.727001,11.661811,1940365
2000-04-06,60.291401,61.137901,58.880501,60.385399,11.790366,1675551
2000-04-07,61.137901,62.501801,59.632999,61.843399,12.075044,1350327
2000-04-10,61.608200,62.266602,60.620602,60.855701,11.882195,1393268
2000-04-11,60.385399,61.326000,59.021599,59.256699,11.569985,1348626
2000-04-12,59.256699,59.680000,57.845901,58.128101,11.349621,2727892
2000-04-13,58.410198,59.962200,58.410198,59.727001,11.661811,1290407
2000-04-14,58.316200,59.397800,53.331100,54.553799,10.651736,7930632
2000-04-17,51.732101,52.202400,49.380600,51.873199,10.128343,4162130
2000-04-18,54.177601,54.177601,48.346001,49.756901,9.715133,5292333
2000-04-19,51.261799,51.355900,49.568699,50.321201,9.825313,3834206
2000-04-20,50.462299,51.355900,50.321201,51.355900,10.027341,2320863
2000-04-21,51.355900,51.355900,51.355900,51.355900,10.027341,0
2000-04-24,51.355900,51.355900,51.355900,51.355900,10.027341,0
2000-04-25,51.732101,52.390499,48.346001,49.615799,9.687583,3123641
2000-04-26,49.850899,50.227100,49.474701,49.850899,9.733485,2260975
2000-04-27,49.850899,50.274200,47.969700,47.969700,9.366176,1624332
2000-04-28,48.910301,50.039001,48.534100,49.051399,9.577379,993399
2000-05-01,49.051399,49.051399,49.051399,49.051399,9.577379,0
2000-05-02,49.850899,51.967201,49.615799,51.402901,10.036516,2290313
2000-05-03,51.214802,52.672699,50.368198,50.368198,9.834489,1668922
2000-05-04,50.321201,51.826099,49.662800,51.826099,10.119147,3074209
2000-05-05,52.343498,54.553799,51.732101,53.143002,10.376273,2673293
2000-05-08,53.143002,53.942501,52.437500,52.625599,10.275249,3315815
2000-05-09,52.625599,52.625599,52.625599,52.625599,10.275249,0
2000-05-10,51.685101,52.155300,49.380600,49.380600,9.641657,1010936
2000-05-11,49.427700,49.850899,48.769199,49.380600,9.641657,1728853
2000-05-12,50.227100,51.779099,49.380600,51.167702,9.990594,1677991
2000-05-15,51.167702,52.343498,49.709801,50.979599,9.953867,1682780
