Date,Open,High,Low,Close,Adj Close,Volume
2006-06-21,17.100000,17.450001,17.000000,17.250000,11.559295,5115170
2006-06-22,17.629999,18.000000,17.520000,17.600000,11.793831,3985128
2006-06-23,17.850000,17.889999,17.100000,17.500000,11.726821,461441
2006-06-26,17.450001,17.940001,17.450001,17.940001,12.021668,2260424
2006-06-27,17.950001,18.240000,17.920000,18.100000,12.128885,466379
2006-06-28,18.000000,18.000000,17.299999,17.610001,11.800533,720402
2006-06-29,17.750000,17.750000,17.580000,17.750000,11.894346,678644
2006-06-30,17.950001,17.950001,17.549999,17.750000,11.894346,147219
2006-07-03,17.760000,18.000000,17.530001,17.900000,11.994864,260360
2006-07-04,18.000000,18.600000,18.000000,18.500000,12.396925,264883
2006-07-05,18.549999,18.700001,18.250000,18.250000,12.229400,1054917
2006-07-06,18.549999,18.549999,18.219999,18.400000,12.329913,172391
2006-07-07,18.400000,18.450001,18.250000,18.440001,12.356721,187768
2006-07-10,18.299999,18.400000,17.700001,18.000000,12.061873,280923
2006-07-11,18.000000,18.090000,17.799999,18.000000,12.061873,1014472
2006-07-12,18.320000,19.330000,18.100000,18.850000,12.631463,834126
2006-07-13,18.809999,19.549999,18.809999,19.400000,13.000017,599366
2006-07-14,19.510000,19.549999,18.900000,19.150000,12.832492,550522
2006-07-17,18.950001,19.500000,18.209999,18.790001,12.591257,207236
2006-07-18,18.700001,18.750000,18.350000,18.350000,12.296410,902328
2006-07-19,18.350000,19.230000,18.129999,19.000000,12.731976,2461651
2006-07-20,19.250000,19.400000,18.250000,18.990000,12.725280,189405
2006-07-21,18.990000,19.110001,18.570000,19.000000,12.731976,783715
2006-07-24,19.389999,19.389999,18.900000,19.240000,12.892802,73296
2006-07-25,19.260000,19.389999,19.070000,19.389999,12.993316,815591
2006-07-26,19.389999,20.200001,19.120001,19.900000,13.335071,467272
2006-07-27,20.000000,20.480000,19.530001,20.480000,13.723733,824127
2006-07-28,20.299999,20.370001,19.870001,20.090000,13.462391,123832
2006-07-31,20.350000,20.379999,19.799999,19.799999,13.268062,29800
2006-08-01,20.110001,20.110001,19.520000,19.950001,13.368579,631731
2006-08-02,19.530001,20.400000,19.530001,20.400000,13.670122,51698
2006-08-03,20.049999,20.360001,19.549999,19.549999,13.100536,91761
2006-08-04,19.969999,20.500000,19.820000,20.500000,13.737138,46864
2006-08-07,20.900000,21.480000,20.700001,21.129999,14.159301,295062
2006-08-08,21.580000,21.580000,21.049999,21.049999,14.105690,281176
2006-08-09,21.200001,21.299999,20.850000,21.000000,14.072188,231688
2006-08-10,20.990000,21.000000,20.600000,21.000000,14.072188,79888
2006-08-11,21.200001,21.200001,20.799999,20.920000,14.018575,94561
2006-08-14,21.250000,21.250000,20.799999,20.799999,13.938165,151732
2006-08-15,20.719999,21.000000,20.719999,20.780001,13.924765,130204
2006-08-16,20.760000,20.860001,20.700001,20.700001,13.871156,191155
2006-08-17,20.750000,20.900000,20.750000,20.799999,13.938165,408304
2006-08-18,20.850000,20.850000,20.389999,20.549999,13.770638,330002
2006-08-21,20.889999,21.250000,20.549999,21.250000,14.239713,120345
2006-08-22,21.250000,21.450001,21.100000,21.299999,14.273214,292576
2006-08-23,21.320000,22.260000,21.320000,21.400000,14.340226,431772
2006-08-24,21.760000,21.950001,21.400000,21.709999,14.547959,126386
2006-08-25,21.730000,21.940001,21.570000,21.750000,14.574764,114992
2006-08-28,21.850000,21.900000,21.450001,21.450001,14.373732,35598
2006-08-29,21.500000,21.500000,20.900000,21.280001,14.259816,93114
2006-08-30,21.680000,21.680000,21.290001,21.400000,14.340226,308954
2006-08-31,21.420000,21.500000,21.219999,21.280001,14.259816,336429
2006-09-01,21.350000,21.500000,21.309999,21.400000,14.340226,223362
2006-09-04,21.500000,21.590000,21.400000,21.490000,14.400534,325288
2006-09-05,21.549999,21.799999,21.459999,21.709999,14.547959,320023
2006-09-06,21.790001,21.799999,21.450001,21.450001,14.373732,35713
2006-09-07,21.500000,21.580000,21.299999,21.299999,14.273214,52380
2006-09-08,21.309999,21.770000,21.309999,21.510000,14.413938,87136
